run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,total_tumor_volume,avg_tumor_target_volume,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,endothelial_cells,vascular_like_cells,active_neovascular_cells,vascular_cells,inactive_neovascular_cells,avg_endothelial_volume,avg_vascular_volume,avg_endothelial_volume_growth_rate,avg_vascular_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_endothelial_oxygen,mean_endothelial_vegf,mean_vascular_oxygen,mean_vascular_vegf1,mean_vascular_vegf2
1,160,growth,1,204,204,0,0,204,0.0,0.0,21.573529411764707,4401.0,22.5,0.0034313725490196,0.0,0.7,9,13,0,4,9,39.55555555555556,1900.0,0.0111111111111111,0.0,8.004228030349694,0.0,2.6796272939162927e-32,0.0,70.0,0.0,90.0,3.981024146080017,0.0
1,170,growth,1,204,204,0,0,204,0.0,0.0,21.65686274509804,4418.0,22.5,0.0083333333333333,0.0,1.7,9,13,0,4,9,39.55555555555556,1900.0,0.0,0.0,8.417165819920745,0.0,4.288442067494292e-31,0.0,70.0,0.0,90.0,3.9813912510871887,0.0
1,180,growth,1,204,204,0,0,204,0.0,0.0,21.705882352941178,4428.0,22.5,0.0049019607843137,0.0,1.0,9,13,0,4,9,39.666666666666664,1900.0,0.0111111111111111,0.0,8.71355303479176,0.0,2.421202522719394e-30,0.0,70.0,0.0,90.0,3.981600821018219,0.0
1,190,growth,1,204,204,0,0,204,0.0,0.0,21.563725490196077,4399.0,22.5,-0.0142156862745098,0.0,-2.9,9,13,0,4,9,40.0,1900.0,0.0333333333333333,0.0,8.922069153364967,0.0,6.683837458638094e-30,0.0,70.0,0.0,90.0,3.9817243218421936,0.0
1,200,growth,1,204,204,0,0,204,0.0,0.0,21.58823529411765,4404.0,22.5,0.0024509803921568,0.0,0.5,9,13,0,4,9,39.333333333333336,1900.0,-0.0666666666666666,0.0,9.164579392063851,0.0,8.725206837462113e-29,0.0,70.0,0.0,90.0,3.9818021655082703,0.0
1,210,growth,1,204,204,0,0,204,0.0,0.0,21.519607843137255,4390.0,22.5,-0.0068627450980392,0.0,-1.4,9,13,0,4,9,39.44444444444444,1900.0,0.0111111111111111,0.0,9.365944348713931,0.0,2.794166633556415e-28,0.0,70.0,0.0,90.0,3.981851875782013,0.0
1,220,growth,1,204,204,0,0,204,0.0,0.0,21.524509803921568,4391.0,22.5,0.0004901960784313,0.0,0.1,9,13,0,4,9,39.333333333333336,1900.0,-0.0111111111111111,0.0,9.579784829826917,0.0,8.778033658077503e-28,0.0,70.0,0.0,90.0,3.981882929801941,0.0
1,230,growth,1,204,204,0,0,204,0.0,0.0,21.519607843137255,4390.0,22.5,-0.0004901960784313,0.0,-0.1,9,13,0,4,9,39.55555555555556,1900.0,0.0222222222222222,0.0,9.741474896085029,0.0,2.4566672170930404e-27,0.0,70.0,0.0,90.0,3.9819005727767944,0.0
1,240,growth,1,204,204,0,0,204,0.0,0.0,21.529411764705884,4392.0,22.5,0.0009803921568627,0.0,0.2,9,13,0,4,9,39.55555555555556,1900.0,0.0,0.0,9.876146167516708,0.0,3.535407229400578e-27,0.0,70.0,0.0,90.0,3.981909573078155,0.0
1,250,growth,1,204,204,0,0,204,0.0,0.0,21.5,4386.0,22.5,-0.0029411764705882,0.0,-0.6,9,13,0,4,9,39.55555555555556,1900.0,0.0,0.0,10.031030900338116,0.0,1.5215856337007742e-26,0.0,70.0,0.0,90.0,3.9819124937057495,0.0
1,260,growth,1,204,204,0,0,204,0.0,0.0,21.480392156862745,4382.0,22.5,-0.0019607843137254,0.0,-0.4,9,13,0,4,9,39.44444444444444,1900.0,-0.0111111111111111,0.0,10.147913556472927,0.0,3.1160351073282656e-26,0.0,70.0,0.0,90.0,3.981909334659576,0.0
1,270,growth,1,204,204,0,0,204,0.0,0.0,21.470588235294116,4380.0,22.5,-0.0009803921568627,0.0,-0.2,9,13,0,4,9,40.111111111111114,1900.0,0.0666666666666666,0.0,10.253303113521314,0.0,5.486422862174198e-26,0.0,70.0,0.0,90.0,3.9819047451019287,0.0
1,280,growth,1,204,204,0,0,204,0.0,0.0,21.573529411764707,4401.0,22.5,0.0102941176470588,0.0,2.1,9,13,0,4,9,39.77777777777778,1900.0,-0.0333333333333333,0.0,10.374494442752765,0.0,1.1585084151026982e-25,0.0,70.0,0.0,90.0,3.981902539730072,0.0
1,290,growth,1,204,204,0,0,204,0.0,0.0,21.495098039215687,4385.0,22.5,-0.0078431372549019,0.0,-1.6,9,13,0,4,9,39.0,1900.0,-0.0777777777777777,0.0,10.476744808402715,0.0,1.8126069639251457e-25,0.0,70.0,0.0,90.0,3.9819042682647705,0.0
1,300,growth,1,204,204,0,0,204,0.0,0.0,21.59313725490196,4405.0,22.5,0.0098039215686274,0.0,2.0,9,13,0,4,9,40.0,1900.0,0.1,0.0,10.525446921002631,0.0,2.994537067888697e-25,0.0,70.0,0.0,90.0,3.98190838098526,0.0
1,310,growth,1,204,0,99,105,204,0.4852941176470588,0.5147058823529411,21.04901960784314,4294.0,12.2817250326568,-0.0544117647058823,-1.02182749673432,-11.1,9,13,0,4,9,39.666666666666664,1900.0,-0.0333333333333333,0.0,11.704475426206402,2.486165921989025,1.0576159416249275e-25,2.486165921989025,70.0,3.1108611123844366e-08,90.0,3.981911599636078,2.9971377046855707e-09
1,320,growth,1,199,0,96,103,199,0.4824120603015075,0.5175879396984925,19.61306532663317,3903.0,13.557462433474749,-0.1964824120603015,0.0967151344721041,-39.1,9,13,0,4,9,39.0,1900.0,-0.0666666666666666,0.0,12.269281574230098,5.036681012891645,1.3557135750873618e-26,5.036681012891645,70.0,0.0001166669396689,90.0,3.981885075569153,4.918656122754328e-05
1,330,growth,1,180,0,96,84,180,0.5333333333333333,0.4666666666666667,19.85555555555555,3574.0,16.464490710364448,-0.1827777777777778,0.1475962797800699,-32.9,9,13,0,4,9,39.44444444444444,1900.0,0.0444444444444444,0.0,12.715356948640611,7.930230808258057,2.1081917693017372e-27,7.930230808258057,70.0,0.0017641950616962,90.0,3.981718599796295,0.0013070549757685
1,340,growth,1,135,0,94,41,135,0.6962962962962963,0.3037037037037037,25.177777777777777,3399.0,23.439577540644898,-0.1296296296296296,0.1486923260158962,-17.5,9,13,0,4,9,39.55555555555556,1900.0,0.0111111111111111,0.0,13.374109042132345,11.379176012674968,8.577024841598822e-28,11.379176012674968,70.0,0.0075967126500068,90.0,3.9813663959503174,0.0070761290844529
1,350,growth,1,108,0,88,20,108,0.8148148148148148,0.1851851851851851,30.685185185185187,3314.0,29.78728463914659,-0.0787037037037037,0.0487812713340476,-8.5,9,13,0,4,9,39.44444444444444,1900.0,-0.0111111111111111,0.0,14.235107819239298,14.031793294129548,4.368670935157977e-28,14.031793294129548,70.0,0.019255950814113,90.0,3.980980694293976,0.0199019471183419
1,360,growth,1,88,0,87,1,88,0.9886363636363636,0.0113636363636363,37.75,3322.0,38.927818124944515,0.009090909090909,0.2370696067810058,0.8,9,13,0,4,9,39.77777777777778,1900.0,0.0333333333333333,0.0,15.462365952405063,15.708756771954624,5.047506571817458e-28,15.708756771954624,70.0,0.0352933292484117,90.0,3.9807416796684265,0.0399771369993686
1,370,growth,1,87,0,87,0,87,1.0,0.0,39.51724137931034,3438.0,42.209944757921946,0.1333333333333333,0.2834680447633239,11.6,9,13,0,4,9,39.77777777777778,1900.0,0.0,0.0,16.04727440318842,17.079860062434754,1.4179529061015514e-27,17.079860062434754,70.0,0.05664848908782,90.0,3.9806254506111145,0.0660301186144352
