run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,avg_normal_volume,avg_hypoxic_volume,avg_necrotic_volume,total_tumor_volume,avg_tumor_target_volume,tumor_effective_radius,tumor_mean_radius,tumor_radius_std,tumor_radial_cv,tumor_span_x,tumor_span_y,tumor_aspect_ratio,mean_tumor_to_vessel_distance,min_tumor_to_vessel_distance,tumor_near_vessel_fraction,hypoxic_core_offset,hypoxic_mean_radius,necrotic_mean_radius,hypoxic_inner_fraction,necrotic_inner_fraction,normal_fraction,vessel_coverage_gap,normal_mean_radius,mean_dist_to_sprout,min_dist_to_sprout,proximity_threshold,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,endothelial_cells,neovascular_cells,vascular_like_cells,active_neovascular_cells,vascular_cells,inactive_neovascular_cells,avg_active_neovascular_volume,avg_inactive_neovascular_volume,avg_neovascular_volume,avg_endothelial_volume,avg_parent_vessel_volume,avg_endothelial_volume_growth_rate,avg_parent_vessel_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_endothelial_oxygen,mean_endothelial_vegf,mean_vascular_oxygen,mean_vascular_vegf1,mean_vascular_vegf2,tumor_oxygen_per_neovascular_cell,tumor_oxygen_per_neovascular_volume,hypoxia_per_neovascular_cell,mean_tumor_hif1a,mean_tumor_vegf_drive,mean_hif_vegf2_boost,mean_endothelial_effective_vegf2
5,0,growth,1,204,204,0,0,204,0.0,0.0,16.0,16.0,0.0,0.0,3264.0,22.5,32.23295624828558,21.555074271738068,7.614343706419764,0.3532506365057303,61.0,60.0,1.0166666666666666,72.97209986072608,56.0357029044876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,21.555074271738068,85.78431219519621,56.0357029044876,15.0,0.0,0.0,0.0,9,9,13,0,4,9,0.0,64.0,64.0,64.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0326349717969379,0.0195809830781627,0.0195809830781627
5,10,growth,1,204,204,0,0,204,0.0,0.0,17.857843137254903,17.857843137254903,0.0,0.0,3643.0,22.5,34.05294282976949,22.272298764879107,7.986352672461818,0.3585778350394343,65.0,64.0,1.015625,72.81048153333005,56.00892785976178,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,22.272298764879107,87.24306821417288,56.00892785976178,15.0,0.1857843137254902,0.0,37.9,9,9,13,0,4,9,0.0,39.55555555555556,39.55555555555556,39.55555555555556,1900.0,-2.4444444444444446,0.0,0.0007340762019412,0.0,0.0,0.0,70.0,0.0,90.0,1.6050463616847992,0.0,8.156402243791846e-05,2.062011803205804e-06,0.0,0.3449577421413982,0.5028899955646636,0.3017339973387982,0.3017339973387982
5,20,growth,1,204,204,0,0,204,0.0,0.0,19.044117647058822,19.044117647058822,0.0,0.0,3885.0,22.5,35.16580594589049,23.063129890518077,8.274028396002686,0.3587556604537175,67.0,66.0,1.0151515151515151,72.4943596669863,55.00909015790027,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,23.063129890518077,88.1942681837126,55.00909015790027,15.0,0.1186274509803921,0.0,24.2,9,9,13,0,4,9,0.0,41.44444444444444,41.44444444444444,41.44444444444444,1900.0,0.1888888888888888,0.0,0.0791367553650999,0.0,0.0,0.0,70.0,0.0,90.0,2.565725088119507,0.0,0.0087929728183444,0.0002121628830163,0.0,0.5270439007649382,0.700080779829596,0.4200484678977576,0.4200484678977576
5,30,growth,1,204,204,0,0,204,0.0,0.0,19.82843137254902,19.82843137254902,0.0,0.0,4045.0,22.5,35.882634931306725,23.659400102795715,8.432565293983144,0.3564150087214895,67.0,67.0,1.0,72.00640233776426,55.036351623268054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,23.659400102795715,88.13805128769395,55.036351623268054,15.0,0.0784313725490196,0.0,16.0,9,9,13,0,4,9,0.0,43.77777777777778,43.77777777777778,43.77777777777778,1900.0,0.2333333333333333,0.0,0.3990961651765175,0.0,0.0,0.0,70.0,0.0,90.0,3.13971871137619,0.0,0.0443440183529463,0.001012934429382,0.0,0.6326693938938699,0.7703407645152893,0.4622044587091736,0.4622044587091736
5,40,growth,1,204,204,0,0,204,0.0,0.0,20.294117647058822,20.294117647058822,0.0,0.0,4140.0,22.5,36.301555459799424,24.039903493099505,8.535464054562754,0.3550540066441116,70.0,68.0,1.0294117647058822,71.62428272190274,54.037024344425184,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.039903493099505,87.91861521764538,54.037024344425184,15.0,0.0465686274509803,0.0,9.5,9,9,13,0,4,9,0.0,46.0,46.0,46.0,1900.0,0.2222222222222222,0.0,0.8901455678849244,0.0,0.0,0.0,70.0,0.0,90.0,3.481765329837799,0.0,0.0989050630983249,0.0021501100673548,0.0,0.6895224464236771,0.799127549436729,0.4794765296620374,0.4794765296620374
5,50,growth,1,204,204,0,0,204,0.0,0.0,20.647058823529413,20.647058823529413,0.0,0.0,4212.0,22.5,36.61586050615398,24.314674407381943,8.569930940927728,0.3524592103246874,70.0,70.0,1.0,71.42592835913892,53.009433122794285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.314674407381943,88.10899979605642,53.009433122794285,15.0,0.0352941176470588,0.0,7.2,9,9,13,0,4,9,0.0,48.666666666666664,48.666666666666664,48.666666666666664,1900.0,0.2666666666666666,0.0,1.472851223367102,0.0,0.0,0.0,70.0,0.0,90.0,3.685138523578644,0.0,0.163650135929678,0.0033626740259522,0.0,0.7161191685113407,0.8107348750941156,0.4864409250564693,0.4864409250564693
5,60,growth,1,204,204,0,0,204,0.0,0.0,20.99019607843137,20.99019607843137,0.0,0.0,4282.0,22.5,36.91886960131623,24.513368286183468,8.640889866988553,0.3524970443110766,70.0,71.0,0.9859154929577464,71.24434618601359,53.03772242470448,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.513368286183468,88.10360776964535,53.03772242470448,15.0,0.034313725490196,0.0,7.0,9,9,13,0,4,9,0.0,51.0,51.0,51.0,1900.0,0.2333333333333333,0.0,2.15625060232831,0.0,0.0,0.0,70.0,0.0,90.0,3.805890679359436,0.0,0.2395834002587011,0.0046977137305627,0.0,0.7237731442534452,0.8135504104230744,0.4881302462538446,0.4881302462538446
5,70,growth,1,204,204,0,0,204,0.0,0.0,21.08823529411765,21.08823529411765,0.0,0.0,4302.0,22.5,37.00498791193787,24.54571145748663,8.6550222355808,0.3526083263290766,71.0,71.0,1.0,71.2279694347827,52.009614495783374,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.54571145748663,87.9699355960587,52.009614495783374,15.0,0.0098039215686274,0.0,2.0,9,9,13,0,4,9,0.0,53.666666666666664,53.666666666666664,53.666666666666664,1900.0,0.2666666666666666,0.0,2.844524908737809,0.0,2.747644047695719e-47,0.0,70.0,0.0,90.0,3.877536416053772,0.0,0.3160583231930898,0.005889285525337,0.0,0.7200759564097668,0.811376441916186,0.4868258651497115,0.4868258651497115
5,80,growth,1,204,204,0,0,204,0.0,0.0,21.357843137254903,21.357843137254903,0.0,0.0,4357.0,22.5,37.24078643238856,24.719748012618115,8.730283715945385,0.3531704170887599,70.0,72.0,0.9722222222222222,70.87765114530191,51.35172830587107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.719748012618115,87.58355167873346,51.35172830587107,15.0,0.0269607843137254,0.0,5.5,9,9,13,0,4,9,0.0,55.888888888888886,55.888888888888886,55.888888888888886,1900.0,0.2222222222222222,0.0,3.621434556941191,0.0,8.510140526725568e-44,0.0,70.0,0.0,90.0,3.920037269592285,0.0,0.4023816174379101,0.0071996710873582,0.0,0.7098127943488063,0.8061493440260519,0.4836896064156311,0.4836896064156311
5,90,growth,1,204,204,0,0,204,0.0,0.0,21.455882352941178,21.455882352941178,0.0,0.0,4377.0,22.5,37.32616202915124,24.83319462359792,8.691792170429476,0.3500070088513717,69.0,71.0,0.971830985915493,70.82305318893638,52.03844732503075,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.83319462359792,87.67110732188772,52.03844732503075,15.0,0.0098039215686274,0.0,2.0,9,9,13,0,4,9,0.0,58.666666666666664,58.666666666666664,58.666666666666664,1900.0,0.2777777777777778,0.0,4.3342512455933235,0.0,5.6120835747488645e-42,0.0,70.0,0.0,90.0,3.945253312587738,0.0,0.4815834717325915,0.00820880917726,0.0,0.6959303285002818,0.7989884966952434,0.479393098017146,0.479393098017146
