run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,avg_normal_volume,avg_hypoxic_volume,avg_necrotic_volume,total_tumor_volume,avg_tumor_target_volume,tumor_effective_radius,tumor_mean_radius,tumor_radius_std,tumor_radial_cv,tumor_span_x,tumor_span_y,tumor_aspect_ratio,mean_tumor_to_vessel_distance,min_tumor_to_vessel_distance,tumor_near_vessel_fraction,hypoxic_core_offset,hypoxic_mean_radius,necrotic_mean_radius,hypoxic_inner_fraction,necrotic_inner_fraction,normal_fraction,vessel_coverage_gap,normal_mean_radius,mean_dist_to_sprout,min_dist_to_sprout,proximity_threshold,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,endothelial_cells,neovascular_cells,vascular_like_cells,active_neovascular_cells,vascular_cells,inactive_neovascular_cells,avg_active_neovascular_volume,avg_inactive_neovascular_volume,avg_neovascular_volume,avg_endothelial_volume,avg_parent_vessel_volume,avg_endothelial_volume_growth_rate,avg_parent_vessel_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_endothelial_oxygen,mean_endothelial_vegf,mean_vascular_oxygen,mean_vascular_vegf1,mean_vascular_vegf2,tumor_oxygen_per_neovascular_cell,tumor_oxygen_per_neovascular_volume,hypoxia_per_neovascular_cell,mean_tumor_hif1a,mean_tumor_vegf_drive,mean_hif_vegf2_boost,mean_endothelial_effective_vegf2
7,0,growth,1,204,204,0,0,204,0.0,0.0,16.0,16.0,0.0,0.0,3264.0,22.5,32.23295624828558,21.555074271738068,7.614343706419764,0.3532506365057303,61.0,60.0,1.0166666666666666,72.97209986072608,56.0357029044876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,21.555074271738068,85.78431219519621,56.0357029044876,15.0,0.0,0.0,0.0,9,9,13,0,4,9,0.0,64.0,64.0,64.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0326349717969379,0.0195809830781627,0.0195809830781627
7,10,growth,1,204,204,0,0,204,0.0,0.0,17.985294117647058,17.985294117647058,0.0,0.0,3669.0,22.5,34.17424428437779,22.30738466725345,8.089086593790258,0.3626192274195542,65.0,64.0,1.015625,72.7686141501207,55.036351623268054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,22.30738466725345,87.23905197675629,55.036351623268054,15.0,0.1985294117647058,0.0,40.5,9,9,13,0,4,9,0.0,38.77777777777778,38.77777777777778,38.77777777777778,1900.0,-2.522222222222222,0.0,0.0008072072198413,0.0,0.0,0.0,70.0,0.0,90.0,1.6050463616847992,0.0,8.968969109348809e-05,2.312914670032644e-06,0.0,0.3449575150403703,0.5028896730229542,0.3017338038137725,0.3017338038137725
7,20,growth,1,204,204,0,0,204,0.0,0.0,19.147058823529413,19.147058823529413,0.0,0.0,3906.0,22.5,35.26072057451303,23.124472757395633,8.36509377940767,0.3617420326581223,67.0,66.0,1.0151515151515151,72.22513920984204,54.08326913195984,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,23.124472757395633,87.70389659081862,54.08326913195984,15.0,0.1161764705882353,0.0,23.7,9,9,13,0,4,9,0.0,41.333333333333336,41.333333333333336,41.333333333333336,1900.0,0.2555555555555555,0.0,0.0813893086808236,0.0,0.0,0.0,70.0,0.0,90.0,2.565723717212677,0.0,0.0090432565200915,0.0002187884641957,0.0,0.5270271377705968,0.700067458047143,0.4200404748282857,0.4200404748282857
7,30,growth,1,204,204,0,0,204,0.0,0.0,19.897058823529413,19.897058823529413,0.0,0.0,4059.0,22.5,35.94467732530098,23.70255003102401,8.476396694025397,0.3576153908727429,67.0,69.0,0.9710144927536232,71.95229076363475,54.037024344425184,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,23.70255003102401,88.16826884459077,54.037024344425184,15.0,0.075,0.0,15.3,9,9,13,0,4,9,0.0,43.77777777777778,43.77777777777778,43.77777777777778,1900.0,0.2444444444444444,0.0,0.4057831378178854,0.0,0.0,0.0,70.0,0.0,90.0,3.139704644680023,0.0,0.0450870153130983,0.0010299064411621,0.0,0.6326306211945557,0.7703185670819576,0.4621911402491745,0.4621911402491745
7,40,growth,1,204,204,0,0,204,0.0,0.0,20.40686274509804,20.40686274509804,0.0,0.0,4163.0,22.5,36.402253449245705,24.054133403707063,8.572605800287013,0.3563880542445923,69.0,69.0,1.0,71.68625148358288,54.00925846556311,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.054133403707063,88.1249922843042,54.00925846556311,15.0,0.0509803921568627,0.0,10.4,9,9,13,0,4,9,0.0,46.44444444444444,46.44444444444444,46.44444444444444,1900.0,0.2666666666666666,0.0,0.8880293760996532,0.0,0.0,0.0,70.0,0.0,90.0,3.481723368167877,0.0,0.0986699306777392,0.0021244721916259,0.0,0.689462806725467,0.799098431881893,0.4794590591291358,0.4794590591291358
7,50,growth,1,204,204,0,0,204,0.0,0.0,20.686274509803923,20.686274509803923,0.0,0.0,4220.0,22.5,36.6506169074355,24.313571307409525,8.625104286500346,0.3547444420010752,69.0,71.0,0.971830985915493,71.46824448918538,53.150729063673246,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.313571307409525,88.24481967831568,53.150729063673246,15.0,0.0279411764705882,0.0,5.7,9,9,13,0,4,9,0.0,48.77777777777778,48.77777777777778,48.77777777777778,1900.0,0.2333333333333333,0.0,1.4681084251725207,0.0,0.0,0.0,70.0,0.0,90.0,3.6850684881210327,0.0,0.1631231583525023,0.0033442105357005,0.0,0.7160719839698586,0.8107096367109401,0.486425782026564,0.486425782026564
7,60,growth,1,204,204,0,0,204,0.0,0.0,21.019607843137255,21.019607843137255,0.0,0.0,4288.0,22.5,36.94472617243352,24.490465256115396,8.71513852767017,0.355858430476079,69.0,71.0,0.971830985915493,71.28047529800762,53.08483775994799,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.490465256115396,88.1580683250564,53.08483775994799,15.0,0.0333333333333333,0.0,6.8,9,9,13,0,4,9,0.0,51.22222222222222,51.22222222222222,51.22222222222222,1900.0,0.2444444444444444,0.0,2.155522811500465,0.0,0.0,0.0,70.0,0.0,90.0,3.805807054042816,0.0,0.2395025346111627,0.0046757544718014,0.0,0.7237918104139475,0.8135539034472808,0.4881323420683685,0.4881323420683685
7,70,growth,1,204,204,0,0,204,0.0,0.0,21.220588235294116,21.220588235294116,0.0,0.0,4329.0,22.5,37.12093071690997,24.71328066851515,8.66468846777313,0.3506085891223656,70.0,70.0,1.0,70.97818318229561,53.150729063673246,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.71328066851515,87.83591346789477,53.150729063673246,15.0,0.0200980392156862,0.0,4.1,9,9,13,0,4,9,0.0,54.111111111111114,54.111111111111114,54.111111111111114,1900.0,0.2888888888888888,0.0,2.892655984882046,0.0,0.0,0.0,70.0,0.0,90.0,3.877456843852997,0.0,0.3214062205424495,0.0059397453488337,0.0,0.7199350627663763,0.8113063686864482,0.4867838212118689,0.4867838212118689
7,80,growth,1,204,204,0,0,204,0.0,0.0,21.32843137254902,21.32843137254902,0.0,0.0,4351.0,22.5,37.21513556049035,24.726652391151028,8.72347685368364,0.3527965175263889,70.0,70.0,1.0,70.84603179072718,53.009433122794285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.726652391151028,87.62889821640557,53.009433122794285,15.0,0.0107843137254901,0.0,2.2,9,9,13,0,4,9,0.0,56.22222222222222,56.22222222222222,56.22222222222222,1900.0,0.2111111111111111,0.0,3.6080752706118657,0.0,4.670994881082723e-46,0.0,70.0,0.0,90.0,3.9199721217155457,0.0,0.4008972522902073,0.0071305835387586,0.0,0.7096569827372389,0.8060665738871539,0.4836399443322923,0.4836399443322923
7,90,growth,1,204,204,0,0,204,0.0,0.0,21.397058823529413,21.397058823529413,0.0,0.0,4365.0,22.5,37.2749601366956,24.799632602971453,8.736130067216633,0.3522685278075403,70.0,71.0,0.9859154929577464,70.77440838570865,53.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.799632602971453,87.62261362820382,53.0,15.0,0.0068627450980392,0.0,1.4,9,9,13,0,4,9,0.0,58.55555555555556,58.55555555555556,58.55555555555556,1900.0,0.2333333333333333,0.0,4.328581688743012,0.0,6.088229680884176e-43,0.0,70.0,0.0,90.0,3.945204198360443,0.0,0.4809535209714457,0.0082136274928709,0.0,0.695903377887417,0.7989627041606249,0.4793776224963749,0.4793776224963749
7,100,growth,1,204,204,0,0,204,0.0,0.0,21.49019607843137,21.49019607843137,0.0,0.0,4384.0,22.5,37.355997390375464,24.906321777478535,8.751274855622626,0.3513676139660228,70.0,70.0,1.0,70.61462086680149,53.009433122794285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.906321777478535,87.34612851262368,53.009433122794285,15.0,0.009313725490196,0.0,1.9,9,9,13,0,4,9,0.0,60.77777777777778,60.77777777777778,60.77777777777778,1900.0,0.2222222222222222,0.0,5.0357742687942935,0.0,1.4595093642082864e-40,0.0,70.0,0.0,90.0,3.9601837396621704,0.0,0.5595304743104771,0.0092061686815252,0.0,0.6808883210845698,0.7909047845119822,0.4745428707071893,0.4745428707071893
7,110,growth,1,204,204,0,0,204,0.0,0.0,21.465686274509803,21.465686274509803,0.0,0.0,4379.0,22.5,37.33468885097101,24.88001950406252,8.776432989649797,0.3527502455621765,70.0,70.0,1.0,70.62146622438578,53.03772242470448,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.88001950406252,87.3341985259885,53.03772242470448,15.0,-0.0024509803921568,0.0,-0.5,9,9,13,0,4,9,0.0,62.888888888888886,62.888888888888886,62.888888888888886,1900.0,0.2111111111111111,0.0,5.640719475699406,0.0,1.3637947805900424e-38,0.0,70.0,0.0,90.0,3.969080567359924,0.0,0.6267466084110451,0.0099659354694335,0.0,0.6657296414027694,0.7824182205344772,0.4694509323206863,0.4694509323206863
