run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,avg_normal_volume,avg_hypoxic_volume,avg_necrotic_volume,total_tumor_volume,avg_tumor_target_volume,tumor_effective_radius,tumor_mean_radius,tumor_radius_std,tumor_radial_cv,tumor_span_x,tumor_span_y,tumor_aspect_ratio,mean_tumor_to_vessel_distance,min_tumor_to_vessel_distance,tumor_near_vessel_fraction,hypoxic_core_offset,hypoxic_mean_radius,necrotic_mean_radius,hypoxic_inner_fraction,necrotic_inner_fraction,normal_fraction,vessel_coverage_gap,normal_mean_radius,mean_dist_to_sprout,min_dist_to_sprout,proximity_threshold,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,endothelial_cells,neovascular_cells,vascular_like_cells,active_neovascular_cells,vascular_cells,inactive_neovascular_cells,avg_active_neovascular_volume,avg_inactive_neovascular_volume,avg_neovascular_volume,avg_endothelial_volume,avg_parent_vessel_volume,avg_endothelial_volume_growth_rate,avg_parent_vessel_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_endothelial_oxygen,mean_endothelial_vegf,mean_vascular_oxygen,mean_vascular_vegf1,mean_vascular_vegf2,tumor_oxygen_per_neovascular_cell,tumor_oxygen_per_neovascular_volume,hypoxia_per_neovascular_cell
3,0,growth,1,13,13,0,0,13,0.0,0.0,16.0,16.0,0.0,0.0,208.0,22.5,8.136857890256438,5.386640797342879,1.7814179837498287,0.3307103723397644,12.0,12.0,1.0,85.1573084809582,80.02499609497022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.386640797342879,85.63445027037271,80.02499609497022,15.0,0.0,0.0,0.0,9,9,13,0,4,9,0.0,64.0,64.0,64.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,10,growth,1,13,13,0,0,13,0.0,0.0,20.23076923076923,20.23076923076923,0.0,0.0,263.0,22.5,9.149617481968136,6.044969962805676,1.7673163535781036,0.2923614781301298,13.0,14.0,0.9285714285714286,85.61933020730918,80.05623023850174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.044969962805676,86.65507832857541,80.05623023850174,15.0,0.4230769230769231,0.0,5.5,9,9,13,0,4,9,0.0,39.666666666666664,39.666666666666664,39.666666666666664,1900.0,-2.433333333333333,0.0,9.283432656450084e-07,0.0,0.0,0.0,70.0,0.0,90.0,1.6050463616847992,0.0,1.0314925173833428e-07,2.600401304327754e-09,0.0
3,20,growth,1,13,13,0,0,13,0.0,0.0,21.23076923076923,21.23076923076923,0.0,0.0,276.0,22.5,9.373021315815206,6.096440566536142,1.8379200111444425,0.3014742768481882,13.0,14.0,0.9285714285714286,86.31069448892633,81.05553651663777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.096440566536142,87.80748517238445,81.05553651663777,15.0,0.1,0.0,1.3,9,9,13,0,4,9,0.0,39.55555555555556,39.55555555555556,39.55555555555556,1900.0,-0.0111111111111111,0.0,0.0039762150532064,0.0,0.0,0.0,70.0,0.0,90.0,2.565724790096283,0.0,0.0004418016725784,1.1169143407883295e-05,0.0
3,30,growth,1,13,13,0,0,13,0.0,0.0,20.76923076923077,20.76923076923077,0.0,0.0,270.0,22.5,9.27058084855655,6.074900141521273,1.7924622059416346,0.2950603572378668,13.0,14.0,0.9285714285714286,86.23490337319163,81.00617260431454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.074900141521273,87.73408906368802,81.00617260431454,15.0,-0.0461538461538461,0.0,-0.6,9,9,13,0,4,9,0.0,39.55555555555556,39.55555555555556,39.55555555555556,1900.0,0.0,0.0,0.0786661330897074,0.0,0.0,0.0,70.0,0.0,90.0,3.1397145986557007,0.0,0.0087406814544119,0.0002209722839598,0.0
3,40,growth,1,13,13,0,0,13,0.0,0.0,20.46153846153846,20.46153846153846,0.0,0.0,266.0,22.5,9.201653640780462,5.951769644819971,1.8121230378345845,0.3044679391131572,13.0,14.0,0.9285714285714286,86.46556299409382,81.00617260431454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.951769644819971,87.81101550964571,81.00617260431454,15.0,-0.0307692307692307,0.0,-0.4,9,9,13,0,4,9,0.0,39.44444444444444,39.44444444444444,39.44444444444444,1900.0,-0.0111111111111111,0.0,0.3569899293092581,0.0,0.0,0.0,70.0,0.0,90.0,3.4817534685134888,0.0,0.0396655477010286,0.0010056054346739,0.0
3,50,growth,1,13,13,0,0,13,0.0,0.0,20.923076923076923,20.923076923076923,0.0,0.0,272.0,22.5,9.304852983362556,6.054324689658133,1.8402065119476023,0.3039490952791157,14.0,14.0,1.0,86.32570146206464,81.00617260431454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.054324689658133,87.76369659857785,81.00617260431454,15.0,0.0461538461538461,0.0,0.6,9,9,13,0,4,9,0.0,39.77777777777778,39.77777777777778,39.77777777777778,1900.0,0.0333333333333333,0.0,0.8992468026968149,0.0,0.0,0.0,70.0,0.0,90.0,3.6851208806037903,0.0,0.0999163114107572,0.0025118625773654,0.0
3,60,growth,1,13,13,0,0,13,0.0,0.0,20.76923076923077,20.76923076923077,0.0,0.0,270.0,22.5,9.27058084855655,6.06727100849336,1.767641888981803,0.2913405197340523,13.0,14.0,0.9285714285714286,86.38477503194918,81.00617260431454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.06727100849336,87.81149714810734,81.00617260431454,15.0,-0.0153846153846153,0.0,-0.2,9,9,13,0,4,9,0.0,39.77777777777778,39.77777777777778,39.77777777777778,1900.0,0.0,0.0,1.641031494507423,0.0,0.0,0.0,70.0,0.0,90.0,3.80586975812912,0.0,0.182336832723047,0.0045838868561659,0.0
3,70,growth,1,13,13,0,0,13,0.0,0.0,20.53846153846154,20.53846153846154,0.0,0.0,267.0,22.5,9.218933756735217,6.012039113921817,1.9521823473256392,0.3247121833929948,13.0,15.0,0.8666666666666667,86.30777548142373,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.012039113921817,87.72969549301123,80.0,15.0,-0.023076923076923,0.0,-0.3,9,9,13,0,4,9,0.0,40.22222222222222,40.22222222222222,40.22222222222222,1900.0,0.0444444444444444,0.0,2.551896938910851,0.0,0.0,0.0,70.0,0.0,90.0,3.877510368824005,0.0,0.2835441043234279,0.0070494390577647,0.0
3,80,growth,1,13,13,0,0,13,0.0,0.0,20.692307692307693,20.692307692307693,0.0,0.0,269.0,22.5,9.25339718068125,5.80605735749206,1.9290938541306484,0.332255390422792,13.0,14.0,0.9285714285714286,86.36857972105389,81.00617260431454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.80605735749206,87.56293804303945,81.00617260431454,15.0,0.0153846153846153,0.0,0.2,9,9,13,0,4,9,0.0,39.22222222222222,39.22222222222222,39.22222222222222,1900.0,-0.1,0.0,3.8427757116464463,0.0,0.0,0.0,70.0,0.0,90.0,3.919998347759247,0.0,0.4269750790718274,0.0108860501746358,0.0
3,90,growth,1,13,13,0,0,13,0.0,0.0,20.692307692307693,20.692307692307693,0.0,0.0,269.0,22.5,9.25339718068125,5.940960470392595,1.7805876312681566,0.2997137651633778,13.0,13.0,1.0,86.46009001664864,81.05553651663777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.940960470392595,87.65668905750991,81.05553651663777,15.0,0.0,0.0,0.0,9,9,13,0,4,9,0.0,39.888888888888886,39.888888888888886,39.888888888888886,1900.0,0.0666666666666666,0.0,5.563378810882568,0.0,0.0,0.0,70.0,0.0,90.0,3.945193827152252,0.0,0.6181532012091743,0.0154968769105364,0.0
