run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,avg_normal_volume,avg_hypoxic_volume,avg_necrotic_volume,total_tumor_volume,avg_tumor_target_volume,tumor_effective_radius,tumor_mean_radius,tumor_radius_std,tumor_radial_cv,tumor_span_x,tumor_span_y,tumor_aspect_ratio,mean_tumor_to_vessel_distance,min_tumor_to_vessel_distance,tumor_near_vessel_fraction,hypoxic_core_offset,hypoxic_mean_radius,necrotic_mean_radius,hypoxic_inner_fraction,necrotic_inner_fraction,normal_fraction,vessel_coverage_gap,normal_mean_radius,mean_dist_to_sprout,min_dist_to_sprout,proximity_threshold,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,endothelial_cells,neovascular_cells,vascular_like_cells,active_neovascular_cells,vascular_cells,inactive_neovascular_cells,avg_active_neovascular_volume,avg_inactive_neovascular_volume,avg_neovascular_volume,avg_endothelial_volume,avg_parent_vessel_volume,avg_endothelial_volume_growth_rate,avg_parent_vessel_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_endothelial_oxygen,mean_endothelial_vegf,mean_vascular_oxygen,mean_vascular_vegf1,mean_vascular_vegf2,tumor_oxygen_per_neovascular_cell,tumor_oxygen_per_neovascular_volume,hypoxia_per_neovascular_cell
5,0,growth,1,13,13,0,0,13,0.0,0.0,16.0,16.0,0.0,0.0,208.0,22.5,8.136857890256438,5.386640797342879,1.7814179837498287,0.3307103723397644,12.0,12.0,1.0,85.1573084809582,80.02499609497022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.386640797342879,85.63445027037271,80.02499609497022,15.0,0.0,0.0,0.0,9,9,13,0,4,9,0.0,64.0,64.0,64.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,10,growth,1,13,13,0,0,13,0.0,0.0,20.46153846153846,20.46153846153846,0.0,0.0,266.0,22.5,9.201653640780462,5.8996233004366765,1.682161064093982,0.2851302495821169,14.0,13.0,1.0769230769230769,85.85314994822657,80.05623023850174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.8996233004366765,86.81045672801574,80.05623023850174,15.0,0.4461538461538462,0.0,5.8,9,9,13,0,4,9,0.0,38.888888888888886,38.888888888888886,38.888888888888886,1900.0,-2.511111111111111,0.0,8.635839891396174e-07,0.0,0.0,0.0,70.0,0.0,90.0,1.6050463616847992,0.0,9.59537765710686e-08,2.4673828261131927e-09,0.0
5,20,growth,1,13,13,0,0,13,0.0,0.0,20.53846153846154,20.53846153846154,0.0,0.0,267.0,22.5,9.218933756735217,5.958948095308396,1.8445416786999775,0.3095414910816598,14.0,13.0,1.0769230769230769,86.36626649987099,81.02468759581859,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.958948095308396,87.73923431107761,81.02468759581859,15.0,0.0076923076923076,0.0,0.1,9,9,13,0,4,9,0.0,39.333333333333336,39.333333333333336,39.333333333333336,1900.0,0.0444444444444444,0.0,0.003974175814969,0.0,0.0,0.0,70.0,0.0,90.0,2.565722703933716,0.0,0.0004415750905521,1.1226485353019872e-05,0.0
5,30,growth,1,13,13,0,0,13,0.0,0.0,20.923076923076923,20.923076923076923,0.0,0.0,272.0,22.5,9.304852983362556,5.968451813380633,2.0177311932173247,0.3380660942413552,14.0,13.0,1.0769230769230769,86.21973784858163,81.02468759581859,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.968451813380633,87.65862781239395,81.02468759581859,15.0,0.0384615384615384,0.0,0.5,9,9,13,0,4,9,0.0,39.111111111111114,39.111111111111114,39.111111111111114,1900.0,-0.0222222222222222,0.0,0.0788958880763787,0.0,0.0,0.0,70.0,0.0,90.0,3.139698803424835,0.0,0.0087662097862643,0.0002241360456715,0.0
5,40,growth,1,13,13,0,0,13,0.0,0.0,20.53846153846154,20.53846153846154,0.0,0.0,267.0,22.5,9.218933756735217,5.752620281213293,1.7814364903448665,0.3096739230577446,13.0,13.0,1.0,86.60122120678372,81.02468759581859,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.752620281213293,87.87318589564386,81.02468759581859,15.0,-0.0384615384615384,0.0,-0.5,9,9,13,0,4,9,0.0,39.888888888888886,39.888888888888886,39.888888888888886,1900.0,0.0777777777777777,0.0,0.3510417319261111,0.0,0.0,0.0,70.0,0.0,90.0,3.481715738773346,0.0,0.039004636880679,0.0009778321223568,0.0
5,50,growth,1,13,13,0,0,13,0.0,0.0,20.846153846153847,20.846153846153847,0.0,0.0,271.0,22.5,9.287732724180174,5.894079544294348,2.0996371739457267,0.356228170686675,14.0,14.0,1.0,86.13864440599153,80.05623023850174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.894079544294348,87.571835381954,80.05623023850174,15.0,0.0307692307692307,0.0,0.4,9,9,13,0,4,9,0.0,39.77777777777778,39.77777777777778,39.77777777777778,1900.0,-0.0111111111111111,0.0,0.8992582055238577,0.0,0.0,0.0,70.0,0.0,90.0,3.6850621700286865,0.0,0.0999175783915397,0.0025118944288375,0.0
5,60,growth,1,13,13,0,0,13,0.0,0.0,20.692307692307693,20.692307692307693,0.0,0.0,269.0,22.5,9.25339718068125,5.871803649826298,1.957119536214752,0.3333080690245233,14.0,14.0,1.0,86.3695166698271,80.05623023850174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.871803649826298,87.80179453758942,80.05623023850174,15.0,-0.0153846153846153,0.0,-0.2,9,9,13,0,4,9,0.0,39.55555555555556,39.55555555555556,39.55555555555556,1900.0,-0.0222222222222222,0.0,1.6322542062172525,0.0,0.0,0.0,70.0,0.0,90.0,3.805801212787628,0.0,0.1813615784685835,0.0045849837253293,0.0
5,70,growth,1,13,13,0,0,13,0.0,0.0,20.615384615384617,20.615384615384617,0.0,0.0,268.0,22.5,9.23618154310838,5.865083605844493,1.8743731763878784,0.3195816636816713,14.0,13.0,1.0769230769230769,86.55087451632286,81.15417426109393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.865083605844493,87.99496138457445,81.15417426109393,15.0,-0.0076923076923076,0.0,-0.1,9,9,13,0,4,9,0.0,40.111111111111114,40.111111111111114,40.111111111111114,1900.0,0.0555555555555555,0.0,2.5191530997936544,0.0,0.0,0.0,70.0,0.0,90.0,3.8774473667144775,0.0,0.2799058999770727,0.0069782634343314,0.0
5,80,growth,1,13,13,0,0,13,0.0,0.0,20.692307692307693,20.692307692307693,0.0,0.0,269.0,22.5,9.25339718068125,6.081185131653563,1.9978329886345711,0.3285269146363467,14.0,13.0,1.0769230769230769,86.41319791994445,81.02468759581859,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.081185131653563,87.92227803594118,81.02468759581859,15.0,0.0076923076923076,0.0,0.1,9,9,13,0,4,9,0.0,39.22222222222222,39.22222222222222,39.22222222222222,1900.0,-0.0888888888888888,0.0,3.8964579838972826,0.0,0.0,0.0,70.0,0.0,90.0,3.9199524521827698,0.0,0.4329397759885869,0.0110381246002755,0.0
5,90,growth,1,13,13,0,0,13,0.0,0.0,20.692307692307693,20.692307692307693,0.0,0.0,269.0,22.5,9.25339718068125,5.822986176309955,2.020481651496582,0.3469837623377234,13.0,14.0,0.9285714285714286,86.43263108581694,81.05553651663777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.822986176309955,87.88445485743554,81.05553651663777,15.0,0.0,0.0,0.0,9,9,13,0,4,9,0.0,39.55555555555556,39.55555555555556,39.55555555555556,1900.0,0.0333333333333333,0.0,5.541600960951585,0.0,0.0,0.0,70.0,0.0,90.0,3.945166170597077,0.0,0.6157334401057316,0.0155662948341336,0.0
