run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,total_tumor_volume,avg_tumor_target_volume,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_tumor_hif1a,mean_tumor_vegf_drive,mean_hif_vegf2_boost
4,0,growth,1,204,204,0,0,204,0.0,0.0,16.0,3264.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0326349717969379,0.0195809830781627
4,10,growth,1,204,204,0,0,204,0.0,0.0,17.985294117647058,3669.0,22.5,0.1985294117647058,0.0,40.5,0.000365115153646,0.0,0.0,0.0,0.3449588965002284,0.5028916349921511,0.3017349809952906
4,20,growth,1,204,204,0,0,204,0.0,0.0,19.063725490196077,3889.0,22.5,0.1078431372549019,0.0,22.0,0.0634685806572259,0.0,0.0,0.0,0.5271587700087332,0.7001717910134548,0.4201030746080729
4,30,growth,1,204,204,0,0,204,0.0,0.0,19.916666666666668,4063.0,22.5,0.0852941176470588,0.0,17.4,0.362721309202778,0.0,0.0,0.0,0.6331917364780187,0.7706356525696907,0.4623813915418144
4,40,growth,1,204,204,0,0,204,0.0,0.0,20.431372549019606,4168.0,22.5,0.0514705882352941,0.0,10.5,0.8527558395894719,0.0,0.0,0.0,0.6903981191212103,0.7995479647352605,0.4797287788411563
4,50,growth,1,204,204,0,0,204,0.0,0.0,20.857843137254903,4255.0,22.5,0.0426470588235294,0.0,8.7,1.4342364379588295,0.0,0.0,0.0,0.7170797190940591,0.8111684434842915,0.4867010660905749
4,60,growth,1,204,204,0,0,204,0.0,0.0,21.142156862745097,4313.0,22.5,0.0284313725490196,0.0,5.8,2.1524393616938124,0.0,0.0,0.0,0.724648328930641,0.8139460855592333,0.4883676513355399
4,70,growth,1,204,204,0,0,204,0.0,0.0,21.33823529411765,4353.0,22.5,0.0196078431372549,0.0,4.0,2.9201207518869756,0.0,0.0,0.0,0.7204045483375988,0.8115259910115519,0.4869155946069311
4,80,growth,1,204,204,0,0,204,0.0,0.0,21.416666666666668,4369.0,22.5,0.0078431372549019,0.0,1.6,3.679674896685516,0.0,0.0,0.0,0.7093115977019557,0.8058891199399931,0.4835334719639959
4,90,growth,1,204,204,0,0,204,0.0,0.0,21.40196078431373,4366.0,22.5,-0.0014705882352941,0.0,-0.3,4.445512824052689,0.0,0.0,0.0,0.6948767276725138,0.798411118465917,0.4790466710795501
4,100,growth,1,204,204,0,0,204,0.0,0.0,21.416666666666668,4369.0,22.5,0.0014705882352941,0.0,0.3,5.167335728512091,0.0,0.0,0.0,0.6789416122416045,0.7898364518352412,0.4739018711011447
4,110,growth,1,204,204,0,0,204,0.0,0.0,21.397058823529413,4365.0,22.5,-0.0019607843137254,0.0,-0.4,5.854716299211278,0.0,1.8546597321946112e-46,0.0,0.662958562174297,0.7808375560377572,0.4685025336226542
4,120,growth,1,204,204,0,0,204,0.0,0.0,21.46078431372549,4378.0,22.5,0.0063725490196078,0.0,1.3,6.4835918358728,0.0,3.609717367660252e-44,0.0,0.6475348456912543,0.7717852822622875,0.4630711693573724
4,130,growth,1,204,204,0,0,204,0.0,0.0,21.475490196078432,4381.0,22.5,0.0014705882352941,0.0,0.3,7.070081321047802,0.0,3.0588834271984525e-42,0.0,0.6332527903278917,0.7630459350499361,0.4578275610299616
4,140,growth,1,204,204,0,0,204,0.0,0.0,21.59803921568627,4406.0,22.5,0.0122549019607843,0.0,2.5,7.632954971170893,0.0,1.5408949243565399e-40,0.0,0.6198197750085973,0.7545533747589683,0.452732024855381
4,150,growth,1,204,204,0,0,204,0.0,0.0,21.59803921568627,4406.0,22.5,0.0,0.0,0.0,8.145710597727813,0.0,1.814895407146819e-38,0.0,0.6076769976486379,0.7465963909771169,0.4479578345862701
4,160,growth,1,204,204,0,0,204,0.0,0.0,21.69607843137255,4426.0,22.5,0.0098039215686274,0.0,2.0,8.567820530896093,0.0,1.0153544746861712e-37,0.0,0.5966995718617736,0.7392193228950664,0.4435315937370398
4,170,growth,1,204,204,0,0,204,0.0,0.0,21.573529411764707,4401.0,22.5,-0.0122549019607843,0.0,-2.5,8.937392304340998,0.0,4.400835868547988e-36,0.0,0.5872317623307842,0.7327319035769128,0.4396391421461476
4,180,growth,1,204,204,0,0,204,0.0,0.0,21.57843137254902,4402.0,22.5,0.0004901960784313,0.0,0.1,9.230085089510562,0.0,2.0328163200430551e-35,0.0,0.5790356330359633,0.7270221328288838,0.4362132796973303
4,190,growth,1,204,204,0,0,204,0.0,0.0,21.642156862745097,4415.0,22.5,0.0063725490196078,0.0,1.3,9.556006445019852,0.0,3.7833151516668973e-34,0.0,0.5716549150665517,0.7217930509930216,0.4330758305958129
4,200,growth,1,204,204,0,0,204,0.0,0.0,21.67156862745098,4421.0,22.5,0.0029411764705882,0.0,0.6,9.81106889423202,0.0,1.3620440703959413e-33,0.0,0.565093852187389,0.7170828311449543,0.4302496986869725
4,210,growth,1,204,204,0,0,204,0.0,0.0,21.71078431372549,4429.0,22.5,0.0039215686274509,0.0,0.8,10.100941806447272,0.0,6.852155864690375e-33,0.0,0.559264210299165,0.712831449069771,0.4276988694418626
4,220,growth,1,204,204,0,0,204,0.0,0.0,21.666666666666668,4420.0,22.5,-0.0044117647058823,0.0,-0.9,10.278507591462605,0.0,3.0264210888205096e-32,0.0,0.554129359480097,0.7090727134078983,0.425443628044739
4,230,growth,1,204,204,0,0,204,0.0,0.0,21.647058823529413,4416.0,22.5,-0.0019607843137254,0.0,-0.4,10.487695371403412,0.0,1.1046381551113734e-31,0.0,0.5495749798199462,0.7057161370948274,0.4234296822568964
4,240,growth,1,204,204,0,0,204,0.0,0.0,21.568627450980394,4400.0,22.5,-0.0078431372549019,0.0,-1.6,10.63120095986946,0.0,4.874144731465458e-31,0.0,0.5457014061435371,0.7028604039442276,0.4217162423665365
4,250,growth,1,204,204,0,0,204,0.0,0.0,21.58823529411765,4404.0,22.5,0.0019607843137254,0.0,0.4,10.77411789520114,0.0,1.7749412033018707e-30,0.0,0.5423275249337028,0.7003583988321155,0.4202150392992693
4,260,growth,1,204,204,0,0,204,0.0,0.0,21.647058823529413,4416.0,22.5,0.0058823529411764,0.0,1.2,10.959761711312275,0.0,7.682806305334003e-30,0.0,0.5392568848034679,0.6980562594972498,0.4188337556983498
4,270,growth,1,204,204,0,0,204,0.0,0.0,21.583333333333332,4403.0,22.5,-0.0063725490196078,0.0,-1.3,11.027563777624392,0.0,1.9854397610698202e-29,0.0,0.5364797584205595,0.6959657591234313,0.4175794554740588
4,280,growth,1,204,204,0,0,204,0.0,0.0,21.519607843137255,4390.0,22.5,-0.0063725490196078,0.0,-1.3,11.149470934680863,0.0,5.279962158132896e-29,0.0,0.5340271879403372,0.6941309466849589,0.4164785680109753
4,290,growth,1,204,204,0,0,204,0.0,0.0,21.59803921568627,4406.0,22.5,0.0078431372549019,0.0,1.6,11.287154977228129,0.0,2.3589049449995824e-28,0.0,0.5318025148727115,0.6924339577532226,0.4154603746519335
4,300,growth,1,204,204,0,0,204,0.0,0.0,21.686274509803923,4424.0,22.5,0.0088235294117647,0.0,1.8,11.39910230215858,0.0,4.837252625426286e-28,0.0,0.5295747071421008,0.6907338506947268,0.4144403104168361
4,310,growth,1,204,0,107,97,204,0.5245098039215687,0.4754901960784313,21.254901960784313,4336.0,13.296729667513976,-0.0431372549019607,-0.9203270332486022,-8.8,12.463902728230346,2.690783035667504,7.291684292897061e-28,2.690783035667504,0.5217760448448211,0.6860088556339088,0.4116053133803453
4,320,growth,1,201,0,105,96,201,0.5223880597014925,0.4776119402985074,19.955223880597018,4011.0,14.726537827828633,-0.1616915422885572,0.1231349508560712,-32.5,13.00970255913426,5.464400380998108,9.77733950206601e-29,5.464400380998108,0.5106128900829529,0.6793283312125268,0.407596998727516
4,330,growth,1,183,0,105,78,183,0.5737704918032787,0.4262295081967213,20.46448087431694,3745.0,17.793814257845852,-0.1453551912568306,0.1618764512525881,-26.6,13.466694274235293,8.694823655925813,4.266495996655621e-29,8.694823655925813,0.4982699697999435,0.6703759391767105,0.4022255635060263
4,340,growth,1,116,0,103,13,116,0.8879310344827587,0.1120689655172413,31.051724137931036,3602.0,30.060826202918744,-0.1232758620689655,0.1989550261661924,-14.3,14.949853609348166,12.203370579357806,3.5649954590236696e-29,12.203370579357806,0.4633078132720028,0.6400428541396885,0.3840257124838131
4,350,growth,1,103,0,98,5,103,0.9514563106796116,0.0485436893203883,34.66990291262136,3571.0,34.98202092439226,-0.0300970873786407,0.1127109860910952,-3.1,15.684840220849493,14.589989514026827,4.286822191894729e-29,14.589989514026827,0.4533672958334473,0.6309678669506911,0.3785807201704146
4,360,growth,1,97,1,96,0,97,0.9896907216494846,0.0,37.69072164948454,3656.0,39.63014425690641,0.0876288659793814,0.2484286986675459,8.5,16.47591855353916,16.200792204473437,1.4815752546317014e-28,16.200792204473437,0.4473621584880527,0.6250134462592267,0.375008067755536
4,370,growth,1,97,3,94,0,97,0.9690721649484536,0.0,39.371134020618555,3819.0,42.46910110945554,0.168041237113402,0.283895685254913,16.3,17.06926666338419,17.404748415209582,7.042630699591044e-28,17.404748415209582,0.4441097397879949,0.6213774716301455,0.3728264829780872
4,380,growth,1,97,10,87,0,97,0.8969072164948454,0.0,42.04123711340206,4078.0,45.27090226006262,0.2670103092783505,0.2801801150607079,25.9,17.700332454799376,18.09468882845849,4.173202524254437e-27,18.09468882845849,0.439198763814589,0.6159869440866931,0.3695921664520158
4,390,growth,1,97,25,72,0,97,0.7422680412371134,0.0,44.58762886597938,4325.0,47.858703927895455,0.2546391752577319,0.2587801667832837,24.7,18.158187935032796,18.18051664608041,1.3035785094973228e-26,18.18051664608041,0.433966748488857,0.6102018281319661,0.3661210968791796
4,400,growth,1,121,36,85,0,121,0.7024793388429752,0.0,37.46280991735537,4533.0,38.963231078849354,0.171900826446281,0.0597162640784397,20.8,19.063769592726526,17.400128246338898,1.154691233647756e-25,17.400128246338898,0.4229715661933299,0.5983069858865077,0.3589841915319046
4,410,growth,1,168,41,127,0,168,0.7559523809523809,0.0,26.964285714285715,4530.0,28.421593575250533,-0.0017857142857142,0.0358790238698323,-0.3,18.767430186271667,18.006572450910294,9.545368647887991e-26,18.006572450910294,0.4222893304538801,0.5977770394786229,0.3586662236871737
