run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,total_tumor_volume,avg_tumor_target_volume,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_tumor_hif1a,mean_tumor_vegf_drive,mean_hif_vegf2_boost
2,0,growth,1,204,204,0,0,204,0.0,0.0,16.0,3264.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0326349717969379,0.0195809830781627
2,10,growth,1,204,204,0,0,204,0.0,0.0,17.897058823529413,3651.0,22.5,0.1897058823529411,0.0,38.7,0.0003765196931596,0.0,0.0,0.0,0.3449588661718722,0.5028915919202307,0.3017349551521384
2,20,growth,1,204,204,0,0,204,0.0,0.0,19.16176470588235,3909.0,22.5,0.1264705882352941,0.0,25.8,0.0643451610242254,0.0,0.0,0.0,0.5271562888742858,0.7001698238857618,0.420101894331457
2,30,growth,1,204,204,0,0,204,0.0,0.0,19.88235294117647,4056.0,22.5,0.0720588235294117,0.0,14.7,0.3630596258330579,0.0,0.0,0.0,0.6331649503542601,0.7706204157340137,0.4623722494404082
2,40,growth,1,204,204,0,0,204,0.0,0.0,20.40686274509804,4163.0,22.5,0.0524509803921568,0.0,10.7,0.842319409947331,0.0,0.0,0.0,0.690426574850824,0.7995596398631941,0.4797357839179164
2,50,growth,1,204,204,0,0,204,0.0,0.0,20.784313725490197,4240.0,22.5,0.0377450980392156,0.0,7.7,1.433677366624276,0.0,0.0,0.0,0.7171229094785986,0.8111820038019154,0.4867092022811492
2,60,growth,1,204,204,0,0,204,0.0,0.0,21.083333333333332,4301.0,22.5,0.0299019607843137,0.0,6.1,2.145831044252012,0.0,0.0,0.0,0.7246754995350887,0.8139524563607343,0.4883714738164406
2,70,growth,1,204,204,0,0,204,0.0,0.0,21.313725490196077,4348.0,22.5,0.0230392156862745,0.0,4.7,2.912961132605286,0.0,0.0,0.0,0.720328627542583,0.8114887355526805,0.4868932413316083
2,80,growth,1,204,204,0,0,204,0.0,0.0,21.40686274509804,4367.0,22.5,0.009313725490196,0.0,1.9,3.6993077747962055,0.0,0.0,0.0,0.7091236112449155,0.8058034739985301,0.483482084399118
2,90,growth,1,204,204,0,0,204,0.0,0.0,21.37254901960784,4360.0,22.5,-0.0034313725490196,0.0,-0.7,4.473078912964054,0.0,0.0,0.0,0.6946279673899559,0.7982875296089763,0.4789725177653857
