run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,total_tumor_volume,avg_tumor_target_volume,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_tumor_hif1a,mean_tumor_vegf_drive,mean_hif_vegf2_boost
5,0,growth,1,204,204,0,0,204,0.0,0.0,16.0,3264.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0326349717969379,0.0195809830781627
5,10,growth,1,204,204,0,0,204,0.0,0.0,17.892156862745097,3650.0,22.5,0.1892156862745098,0.0,38.6,0.0003647600912606,0.0,0.0,0.0,0.3449589020615876,0.5028916428904878,0.3017349857342927
5,20,growth,1,204,204,0,0,204,0.0,0.0,19.024509803921568,3881.0,22.5,0.113235294117647,0.0,23.1,0.0628377079456364,0.0,0.0,0.0,0.5271656838280543,0.7001772668214922,0.4201063600928953
5,30,growth,1,204,204,0,0,204,0.0,0.0,19.75,4029.0,22.5,0.0725490196078431,0.0,14.8,0.3641640951345656,0.0,0.0,0.0,0.6331996355568985,0.7706402459706532,0.4623841475823919
5,40,growth,1,204,204,0,0,204,0.0,0.0,20.323529411764707,4146.0,22.5,0.0573529411764705,0.0,11.7,0.8326254244711176,0.0,0.0,0.0,0.6905100711357592,0.7996020082538134,0.479761204952288
5,50,growth,1,204,204,0,0,204,0.0,0.0,20.720588235294116,4227.0,22.5,0.0397058823529411,0.0,8.1,1.4335417125154943,0.0,0.0,0.0,0.7172666533057935,0.8112509430545267,0.486750565832716
5,60,growth,1,204,204,0,0,204,0.0,0.0,20.96078431372549,4276.0,22.5,0.0240196078431372,0.0,4.9,2.1382305326268956,0.0,0.0,0.0,0.7247773487220845,0.81400241916998,0.4884014515019879
5,70,growth,1,204,204,0,0,204,0.0,0.0,21.166666666666668,4318.0,22.5,0.0205882352941176,0.0,4.2,2.895161352394258,0.0,0.0,0.0,0.720659523549929,0.8116533712299778,0.4869920227379867
5,80,growth,1,204,204,0,0,204,0.0,0.0,21.225490196078432,4330.0,22.5,0.0058823529411764,0.0,1.2,3.657296380429876,0.0,0.0,0.0,0.7096434628981908,0.8060740202064625,0.4836444121238774
5,90,growth,1,204,204,0,0,204,0.0,0.0,21.318627450980394,4349.0,22.5,0.009313725490196,0.0,1.9,4.463471006967273,0.0,0.0,0.0,0.695054406520645,0.7985386958635219,0.4791232175181131
5,100,growth,1,204,204,0,0,204,0.0,0.0,21.455882352941178,4377.0,22.5,0.0137254901960784,0.0,2.8,5.238168088682726,0.0,0.0,0.0,0.6789451137654909,0.7898666503769167,0.47391999022615
5,110,growth,1,204,204,0,0,204,0.0,0.0,21.475490196078432,4381.0,22.5,0.0019607843137254,0.0,0.4,5.905117934241014,0.0,2.472879642926148e-46,0.0,0.6625333003011769,0.7806117683020783,0.468367060981247
5,120,growth,1,204,204,0,0,204,0.0,0.0,21.49019607843137,4384.0,22.5,0.0014705882352941,0.0,0.3,6.538697401682536,0.0,2.756573890850731e-44,0.0,0.6471487304926957,0.771548520465619,0.4629291122793713
5,130,growth,1,204,204,0,0,204,0.0,0.0,21.50980392156863,4388.0,22.5,0.0019607843137254,0.0,0.4,7.096078191025584,0.0,3.970723449976874e-42,0.0,0.6327152556450987,0.762704501624579,0.4576227009747474
5,140,growth,1,204,204,0,0,204,0.0,0.0,21.5,4386.0,22.5,-0.0009803921568627,0.0,-0.2,7.611618231908948,0.0,1.5018377137473546e-40,0.0,0.6197204269928013,0.7544846041499639,0.4526907624899783
5,150,growth,1,204,204,0,0,204,0.0,0.0,21.602941176470587,4407.0,22.5,0.0102941176470588,0.0,2.1,8.139180192176033,0.0,1.707342387580486e-38,0.0,0.60763315727037,0.7465963498611871,0.4479578099167122
5,160,growth,1,204,204,0,0,204,0.0,0.0,21.49019607843137,4384.0,22.5,-0.0112745098039215,0.0,-2.3,8.524536898323134,0.0,7.782857117579494e-38,0.0,0.5969491348086513,0.7394391127205935,0.4436634676323561
5,170,growth,1,204,204,0,0,204,0.0,0.0,21.519607843137255,4390.0,22.5,0.0029411764705882,0.0,0.6,8.915631796215095,0.0,1.8115408444132187e-36,0.0,0.5876825533725784,0.7330930510930352,0.4398558306558211
5,180,growth,1,204,204,0,0,204,0.0,0.0,21.544117647058822,4395.0,22.5,0.0024509803921568,0.0,0.5,9.273441487083248,0.0,5.144935023105914e-35,0.0,0.5792787761522323,0.7272341457890292,0.4363404874734175
5,190,growth,1,204,204,0,0,204,0.0,0.0,21.62745098039216,4412.0,22.5,0.0083333333333333,0.0,1.7,9.610397160053251,0.0,5.513831884960915e-34,0.0,0.571675327578766,0.7218243223460279,0.4330945934076167
5,200,growth,1,204,204,0,0,204,0.0,0.0,21.59803921568627,4406.0,22.5,-0.0029411764705882,0.0,-0.6,9.834523364609362,0.0,3.381764231723454e-33,0.0,0.5649679372291844,0.7169995271015801,0.430199716260948
5,210,growth,1,204,204,0,0,204,0.0,0.0,21.544117647058822,4395.0,22.5,-0.005392156862745,0.0,-1.1,10.059226126063104,0.0,1.989627281441505e-32,0.0,0.5591952621200714,0.7128221337058284,0.427693280223497
5,220,growth,1,204,204,0,0,204,0.0,0.0,21.50980392156863,4388.0,22.5,-0.0034313725490196,0.0,-0.7,10.29809295429903,0.0,1.2942559043399775e-31,0.0,0.5542200307607448,0.7091933628105015,0.4255160176863009
5,230,growth,1,204,204,0,0,204,0.0,0.0,21.455882352941178,4377.0,22.5,-0.005392156862745,0.0,-1.1,10.445534350240932,0.0,3.9169329703389656e-31,0.0,0.5497883308947453,0.7059390831471477,0.4235634498882886
5,240,growth,1,204,204,0,0,204,0.0,0.0,21.49019607843137,4384.0,22.5,0.0034313725490196,0.0,0.7,10.670978003272824,0.0,2.0130304272443716e-30,0.0,0.5457373016339988,0.7029305630450701,0.421758337827042
5,250,growth,1,204,204,0,0,204,0.0,0.0,21.55392156862745,4397.0,22.5,0.0063725490196078,0.0,1.3,10.835571334642523,0.0,4.8158460173403594e-30,0.0,0.5421876441164944,0.7002693170708096,0.4201615902424858
5,260,growth,1,204,204,0,0,204,0.0,0.0,21.544117647058822,4395.0,22.5,-0.0009803921568627,0.0,-0.2,10.950753261645636,0.0,1.3961292151388245e-29,0.0,0.5390484421191286,0.6979240749577924,0.4187544449746754
5,270,growth,1,204,204,0,0,204,0.0,0.0,21.44607843137255,4375.0,22.5,-0.0098039215686274,0.0,-2.0,11.070942169311,0.0,5.178880044192875e-29,0.0,0.5362594698828643,0.6958539671703059,0.4175123803021835
5,280,growth,1,204,204,0,0,204,0.0,0.0,21.504901960784313,4387.0,22.5,0.0058823529411764,0.0,1.2,11.197526035355589,0.0,1.0224374013604178e-28,0.0,0.5337567086676537,0.693982092697234,0.4163892556183404
5,290,growth,1,204,204,0,0,204,0.0,0.0,21.534313725490197,4393.0,22.5,0.0029411764705882,0.0,0.6,11.308665184413686,0.0,2.963757873601871e-28,0.0,0.5311983122930304,0.6920343553977685,0.415220613238661
5,300,growth,1,204,204,0,0,204,0.0,0.0,21.62254901960784,4411.0,22.5,0.0088235294117647,0.0,1.8,11.412198598478357,0.0,8.653081584552012e-28,0.0,0.5289529720754571,0.6902768827596093,0.4141661296557655
5,310,growth,1,204,0,109,95,204,0.5343137254901961,0.4656862745098039,21.205882352941178,4326.0,13.54166036493638,-0.0416666666666666,-0.895833963506362,-8.5,12.424497192981196,2.742344823172864,7.7183737648691255e-28,2.742344823172864,0.5212150624637013,0.6855886387761726,0.4113531832657035
5,320,growth,1,196,0,107,89,196,0.5459183673469388,0.4540816326530612,20.244897959183675,3968.0,15.379388964906031,-0.1826530612244898,0.1285007768747758,-35.8,13.00025918532391,5.570894974835065,1.2199599882186072e-28,5.570894974835065,0.5097455952842278,0.6784698596611412,0.4070819157966847
5,330,growth,1,167,0,106,61,167,0.6347305389221557,0.3652694610778443,22.251497005988025,3716.0,19.67033297144724,-0.1508982035928143,0.1620271671318008,-25.2,13.577428806327774,8.902287537466266,6.02360495529153e-29,8.902287537466266,0.4945435953231849,0.66683443486055,0.40010066091633
5,340,growth,1,120,0,101,19,120,0.8416666666666667,0.1583333333333333,30.125,3615.0,28.51429370244344,-0.0841666666666666,0.1139746983846028,-10.1,14.85606898466746,12.288262685139976,1.3199055892201911e-28,12.288262685139976,0.4671076178261882,0.6432921021875464,0.3859752613125278
5,350,growth,1,103,0,100,3,103,0.970873786407767,0.029126213592233,35.019417475728154,3607.0,35.6628049091228,-0.0077669902912621,0.244226855676151,-0.8,15.800445065915008,14.593076835558252,1.0978478667034814e-28,14.593076835558252,0.4531797934284144,0.6306872906478093,0.3784123743886855
5,360,growth,1,100,2,98,0,100,0.98,0.0,36.81,3681.0,39.57781265258789,0.074,0.2845123596191406,7.4,16.447622833251952,16.29631851196289,3.033009181692488e-28,16.29631851196289,0.4486148944162608,0.6261166775341882,0.3756700065205129
5,370,growth,1,100,9,91,0,100,0.91,0.0,39.0,3900.0,42.38393695831299,0.219,0.2806124305725098,21.9,17.13244309425354,17.33737205505371,1.34573942135981e-27,17.33737205505371,0.4447762492581569,0.6218889484612382,0.3731333690767429
5,380,growth,1,100,17,83,0,100,0.83,0.0,41.58,4158.0,45.07511157989502,0.258,0.2691174621582031,25.8,17.74879006385803,17.78936587333679,1.0019656088154478e-26,17.78936587333679,0.4394857987048082,0.616122574610365,0.369673544766219
5,390,growth,1,100,25,75,0,100,0.75,0.0,44.08,4408.0,47.604167442321774,0.25,0.2529055862426758,25.0,18.17347498893738,17.9083762550354,4.9610484810250413e-26,17.9083762550354,0.4340859753709695,0.6101627773950444,0.3660976664370266
5,400,growth,1,121,35,86,0,121,0.7107438016528925,0.0,38.35537190082645,4641.0,40.18490442953819,0.1925619834710744,0.0842617287123498,23.3,18.97745406726175,17.26920611799256,2.143772159174371e-25,17.26920611799256,0.4242188131577343,0.5995312812954708,0.3597187687772825
