mcs,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,total_tumor_volume,avg_tumor_target_volume,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,endothelial_cells,vascular_like_cells,active_neovascular_cells,vascular_cells,inactive_neovascular_cells,avg_endothelial_volume,avg_vascular_volume,avg_endothelial_volume_growth_rate,avg_vascular_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_endothelial_oxygen,mean_endothelial_vegf,mean_vascular_oxygen,mean_vascular_vegf1,mean_vascular_vegf2
14,12,12,38,30,80,0.475,0.375,11.775,942.0,31.34087634086609,1.1875,-0.18399858474731445,94.0,13,13,0,1,12,107.3076923076923,107.3076923076923,-0.6153846153846154,-0.6153846153846154,3.2350558057427405,5.771464059281698,0.0,5.771464059281698,76.18208312988281,1.4102543929260185e-12,76.18208312988281,8.843570709228516,1.4102543929260185e-12
15,12,12,38,30,80,0.475,0.375,12.8,1024.0,31.15682806968689,1.025,-0.18404827117919922,82.0,13,13,0,1,12,106.6923076923077,106.6923076923077,-0.6153846153846154,-0.6153846153846154,3.193372148275375,6.292177734878351,0.0,6.292177734878351,76.33945875901442,3.206542344939706e-11,76.33945875901442,9.177430629730225,3.206542344939706e-11
16,13,13,36,31,80,0.45,0.3875,13.6,1088.0,30.966468715667723,0.8,-0.19035935401916504,64.0,13,13,0,1,12,106.3076923076923,106.3076923076923,-0.38461538461538464,-0.38461538461538464,3.1643443115055563,6.9482294203276975,0.0,6.9482294203276975,76.59074225792519,2.2340522294109895e-10,76.59074225792519,9.506005910726694,2.2340522294109895e-10
17,14,14,35,31,80,0.4375,0.3875,14.4375,1155.0,30.776156997680665,0.8375,-0.19031171798706054,67.0,13,13,0,1,12,106.0,106.0,-0.3076923076923077,-0.3076923076923077,3.2620082549750804,7.197048926423304,0.0,7.197048926423304,76.60767951378456,1.3403984439752817e-09,76.60767951378456,9.855894308823805,1.3403984439752817e-09
18,15,15,34,30,79,0.43037974683544306,0.379746835443038,15.50632911392405,1225.0,30.637566530251807,0.8987341772151899,-0.18638992309570312,70.0,13,13,0,1,12,105.23076923076923,105.23076923076923,-0.7692307692307693,-0.7692307692307693,3.2966157495975494,7.531802403516596,0.0,7.531802403516596,76.69535064697266,3.866232459237508e-09,76.69535064697266,10.369425333463228,3.866232459237508e-09
19,14,14,34,30,78,0.4358974358974359,0.38461538461538464,16.743589743589745,1306.0,30.501803080240887,1.064102564102564,-0.18880917475773737,81.0,13,13,0,1,12,105.0,105.0,-0.23076923076923078,-0.23076923076923078,3.3318182283487077,7.866968892854997,3.4301083915041647e-29,7.866968892854997,76.65127387413612,1.4275861148996108e-08,76.65127387413612,10.683689704308144,1.4275861148996108e-08
20,16,16,32,30,78,0.41025641025641024,0.38461538461538464,17.756410256410255,1385.0,30.3129817767021,1.0128205128205128,-0.18882130353878707,79.0,13,13,0,1,12,105.53846153846153,105.53846153846153,0.5384615384615384,0.5384615384615384,3.3562630865818415,8.043963227964317,6.177008045435127e-23,8.043963227964317,76.47135162353516,4.083533231093457e-08,76.47135162353516,10.959414848914513,4.083533231093457e-08
21,17,17,28,33,78,0.358974358974359,0.4230769230769231,18.692307692307693,1458.0,30.104795700464493,0.9358974358974359,-0.20818607623760516,73.0,13,13,0,1,12,105.15384615384616,105.15384615384616,-0.38461538461538464,-0.38461538461538464,3.2848853392478747,8.164641444929517,2.930273256091398e-21,8.164641444929517,76.64084977370042,1.0446966549149919e-07,76.64084977370042,11.177653532761793,1.0446966549149919e-07
22,17,17,27,34,78,0.34615384615384615,0.4358974358974359,19.71794871794872,1538.0,29.89016860570663,1.0256410256410255,-0.21462709475786257,80.0,13,13,0,1,12,104.61538461538461,104.61538461538461,-0.5384615384615384,-0.5384615384615384,3.2770967395641866,8.151830681151925,8.108598943670548e-21,8.151830681151925,76.54486025296725,2.2288533282485573e-07,76.54486025296725,11.44408314044659,2.2288533282485573e-07
23,17,17,26,35,78,0.3333333333333333,0.44871794871794873,20.55128205128205,1603.0,29.669132526104267,0.8333333333333334,-0.2210360796023638,65.0,13,13,0,1,12,105.23076923076923,105.23076923076923,0.6153846153846154,0.6153846153846154,3.3245816708375244,8.063498060744351,2.1393747849663543e-18,8.063498060744351,76.46812556340144,4.56758864591718e-07,76.46812556340144,11.718868549053486,4.56758864591718e-07
24,17,17,26,35,78,0.3333333333333333,0.44871794871794873,21.474358974358974,1675.0,29.44807781317295,0.9230769230769231,-0.2210547129313151,72.0,13,13,0,1,12,104.38461538461539,104.38461538461539,-0.8461538461538461,-0.8461538461538461,3.3008274825719686,8.163724265903092,6.219582937541185e-19,8.163724265903092,76.30794055645282,8.180594465191575e-07,76.30794055645282,11.969492618854229,8.180594465191575e-07
25,17,17,25,36,78,0.32051282051282054,0.46153846153846156,22.384615384615383,1746.0,29.22056589371119,0.9102564102564102,-0.22751191946176383,71.0,13,13,0,1,12,103.92307692307692,103.92307692307692,-0.46153846153846156,-0.46153846153846156,3.2922916614856477,8.487791154867946,6.984807603042523e-18,8.487791154867946,76.14801905705379,1.4510379753320375e-06,76.14801905705379,12.099944481482872,1.4510379753320375e-06
26,18,18,23,37,78,0.2948717948717949,0.47435897435897434,23.243589743589745,1813.0,28.9866032233605,0.8589743589743589,-0.2339626703506861,67.0,13,13,0,1,12,103.53846153846153,103.53846153846153,-0.38461538461538464,-0.38461538461538464,3.277057890326549,8.723289154792347,1.2639018467662248e-17,8.723289154792347,76.26848954420824,2.239848361701302e-06,76.26848954420824,12.43816617818979,2.239848361701302e-06
27,16,16,25,37,78,0.32051282051282054,0.47435897435897434,24.141025641025642,1883.0,28.752651263505985,0.8974358974358975,-0.23395195985451722,70.0,13,13,0,1,12,103.0,103.0,-0.5384615384615384,-0.5384615384615384,3.2888351587148814,8.714941321633374,2.2360029193785725e-17,8.714941321633374,76.13511716402493,3.281445212534451e-06,76.13511716402493,12.566769746633677,3.281445212534451e-06
28,16,16,25,37,78,0.32051282051282054,0.47435897435897434,24.987179487179485,1949.0,28.518651130871895,0.8461538461538461,-0.23400013263408953,66.0,13,13,0,1,12,103.0,103.0,0.0,0.0,3.2506062359764027,8.957300114099127,3.3667209629023867e-15,8.957300114099127,76.14619797926683,4.9830563887479085e-06,76.14619797926683,12.749816821171688,4.9830563887479085e-06
29,15,15,25,38,78,0.32051282051282054,0.48717948717948717,25.58974358974359,1996.0,28.278209539560173,0.6025641025641025,-0.24044159131172377,47.0,13,13,0,1,12,103.53846153846153,103.53846153846153,0.5384615384615384,0.5384615384615384,3.284963744955185,9.119983224795224,3.1400330849101753e-15,9.119983224795224,75.70277404785156,8.336220151790841e-06,75.70277404785156,12.928319050715519,8.336220151790841e-06
30,15,15,25,38,78,0.32051282051282054,0.48717948717948717,25.935897435897434,2023.0,28.037737088325695,0.34615384615384615,-0.24047245123447517,27.0,13,13,0,1,12,103.0,103.0,-0.5384615384615384,-0.5384615384615384,3.2593073080747557,9.430216868658764,3.0027946356761007e-13,9.430216868658764,75.67574368990384,1.2008843697546974e-05,75.67574368990384,13.057594519395094,1.2008843697546974e-05
31,15,15,24,39,78,0.3076923076923077,0.5,26.243589743589745,2047.0,27.79080082820012,0.3076923076923077,-0.24693626012557593,24.0,13,13,0,1,12,102.76923076923077,102.76923076923077,-0.23076923076923078,-0.23076923076923078,3.2230076306523423,9.81237659820666,4.113926437648415e-13,9.81237659820666,75.58076887864333,1.4826805518948386e-05,75.58076887864333,13.192922152005709,1.4826805518948386e-05
32,14,14,24,40,78,0.3076923076923077,0.5128205128205128,26.384615384615383,2058.0,27.537408877641727,0.14102564102564102,-0.2533919505583934,11.0,13,13,0,1,12,102.23076923076923,102.23076923076923,-0.5384615384615384,-0.5384615384615384,3.1993158551362844,10.188112605888492,5.531375152521509e-13,10.188112605888492,75.37843557504507,2.467818724185897e-05,75.37843557504507,13.250894106351412,2.467818724185897e-05
33,14,14,23,41,78,0.2948717948717949,0.5256410256410257,26.487179487179485,2066.0,27.277574881529198,0.10256410256410256,-0.25983399611253005,8.0,13,13,0,1,12,103.0,103.0,0.7692307692307693,0.7692307692307693,3.220254025207116,10.496175325021913,7.671844358913453e-13,10.496175325021913,75.16283534123347,4.0063212073034785e-05,75.16283534123347,13.407581696143517,4.0063212073034785e-05
34,14,14,23,41,78,0.2948717948717949,0.5256410256410257,26.44871794871795,2063.0,27.01771467159956,-0.038461538461538464,-0.25986020992963743,-3.0,13,13,0,1,12,103.07692307692308,103.07692307692308,0.07692307692307693,0.07692307692307693,3.212741749217877,11.042415894806767,1.0026140053172345e-12,11.042415894806767,75.12357330322266,5.366607718010768e-05,75.12357330322266,13.524071473341722,5.366607718010768e-05
35,13,13,24,41,78,0.3076923076923077,0.5256410256410257,26.384615384615383,2058.0,26.757824139717297,-0.0641025641025641,-0.25989053188226163,-5.0,13,13,0,1,12,103.0,103.0,-0.07692307692307693,-0.07692307692307693,3.172702710597943,11.530220985221558,1.291539135229869e-12,11.530220985221558,75.06294896052434,6.872334638170667e-05,75.06294896052434,13.613671522874098,6.872334638170667e-05
36,14,14,23,41,78,0.2948717948717949,0.5256410256410257,26.166666666666668,2041.0,26.49792641859788,-0.21794871794871795,-0.25989772111941606,-17.0,13,13,0,1,12,103.38461538461539,103.38461538461539,0.38461538461538464,0.38461538461538464,3.1714329813153315,12.095944973711784,1.642040797329088e-12,12.095944973711784,75.34303870567909,8.513884460124534e-05,75.34303870567909,13.842551891620342,8.513884460124534e-05
37,15,15,22,41,78,0.28205128205128205,0.5256410256410257,26.17948717948718,2042.0,26.23802801278921,0.01282051282051282,-0.25989840580866885,1.0,13,13,0,1,12,103.46153846153847,103.46153846153847,0.07692307692307693,0.07692307692307693,3.1706032187510758,12.638425773343979,2.062513372931374e-12,12.638425773343979,75.20545255220853,0.000140964082350118,75.20545255220853,13.703377943772535,0.000140964082350118
38,15,15,22,41,78,0.28205128205128205,0.5256410256410257,25.923076923076923,2022.0,25.978091068756886,-0.2564102564102564,-0.2599369440323267,-20.0,13,13,0,1,12,103.6923076923077,103.6923076923077,0.23076923076923078,0.23076923076923078,3.132187376037622,13.166117992729713,5.512453574266006e-11,13.166117992729713,74.99452150785007,0.00018861829972394162,74.99452150785007,13.799095740685097,0.00018861829972394162
39,15,15,20,43,78,0.2564102564102564,0.5512820512820513,25.705128205128204,2005.0,25.705285047873474,-0.21794871794871795,-0.27280602088341344,-17.0,13,13,0,1,12,103.61538461538461,103.61538461538461,-0.07692307692307693,-0.07692307692307693,3.1197260190279055,13.671715401304073,6.486386841236702e-11,13.671715401304073,74.85805041973407,0.00032634148787407795,74.85805041973407,13.771833493159367,0.00032634148787407795
40,13,13,22,43,78,0.28205128205128205,0.5512820512820513,25.512820512820515,1990.0,25.432463376949993,-0.19230769230769232,-0.2728216709234776,-15.0,13,13,0,1,12,103.92307692307692,103.92307692307692,0.3076923076923077,0.3076923076923077,3.1164029020911608,14.302591973390335,7.569035715698591e-11,14.302591973390335,74.60216610248273,0.0005830475325756022,74.60216610248273,13.481224170097938,0.0005830475325756022
41,14,14,21,43,78,0.2692307692307692,0.5512820512820513,25.23076923076923,1968.0,25.159643955719776,-0.28205128205128205,-0.27281942123021835,-22.0,13,13,0,1,12,103.92307692307692,103.92307692307692,0.0,0.0,3.1459439824789,14.962992835885439,8.763842080959116e-11,14.962992835885439,74.12020463209886,0.0011307831003276848,74.12020463209886,13.301910583789532,0.0011307831003276848
42,14,14,21,43,78,0.2692307692307692,0.5512820512820513,24.974358974358974,1948.0,24.88681900806916,-0.2564102564102564,-0.272824947650616,-20.0,13,13,0,1,12,103.53846153846153,103.53846153846153,-0.38461538461538464,-0.38461538461538464,3.151798299107796,15.46700142056514,1.0073536210212123e-10,15.46700142056514,74.10081188495343,0.00140859797901035,74.10081188495343,13.510999789604774,0.00140859797901035
43,14,14,21,43,78,0.2692307692307692,0.5512820512820513,24.846153846153847,1938.0,24.61400266794058,-0.1282051282051282,-0.27281634012858075,-10.0,13,13,0,1,12,103.23076923076923,103.23076923076923,-0.3076923076923077,-0.3076923076923077,3.1919007194347873,15.85939830618027,1.1500051161411119e-10,15.85939830618027,74.04795045119066,0.0017652067991819492,74.04795045119066,13.20048423913809,0.0017652067991819492
44,14,14,20,44,78,0.2564102564102564,0.5641025641025641,24.564102564102566,1916.0,24.334742521628357,-0.28205128205128205,-0.27926014631222457,-22.0,13,13,0,1,12,103.76923076923077,103.76923076923077,0.5384615384615384,0.5384615384615384,3.1605013366311026,16.41892031255441,9.929294499265463e-12,16.41892031255441,74.42627363938551,0.00216159125738631,74.42627363938551,13.472200907193697,0.00216159125738631
45,13,13,20,45,78,0.2564102564102564,0.5769230769230769,24.423076923076923,1905.0,24.04905798496344,-0.14102564102564102,-0.28568453666491384,-11.0,13,13,0,1,12,103.6923076923077,103.6923076923077,-0.07692307692307693,-0.07692307692307693,3.164857345704849,16.89128640981821,4.989934668293322e-10,16.89128640981821,74.55513293926532,0.0018307683782180762,74.55513293926532,13.709146939791166,0.0018307683782180762
46,13,13,20,45,78,0.2564102564102564,0.5769230769230769,24.23076923076923,1890.0,23.76335794497759,-0.19230769230769232,-0.28570003998585236,-15.0,13,13,0,1,12,103.61538461538461,103.61538461538461,-0.07692307692307693,-0.07692307692307693,3.173868158306831,17.286386298254513,2.67229456268798e-09,17.286386298254513,74.53032684326172,0.0022707105320897915,74.53032684326172,13.800043472876915,0.0022707105320897915
47,14,14,19,45,78,0.24358974358974358,0.5769230769230769,23.94871794871795,1868.0,23.47764421120668,-0.28205128205128205,-0.2857137337709085,-22.0,13,13,0,1,12,103.76923076923077,103.76923076923077,0.15384615384615385,0.15384615384615385,3.164327098773076,17.902053330189144,8.42818316776372e-09,17.902053330189144,74.36239242553711,0.002795976890516053,74.36239242553711,13.89277245448186,0.002795976890516053
48,14,14,18,46,78,0.23076923076923078,0.5897435897435898,23.705128205128204,1849.0,23.185495963463417,-0.24358974358974358,-0.2921482477432642,-19.0,13,13,0,1,12,103.53846153846153,103.53846153846153,-0.23076923076923078,-0.23076923076923078,3.183631659318239,18.417110547805443,2.2052378348654672e-08,18.417110547805443,74.51373613797702,0.003421342140777247,74.51373613797702,13.948323469895582,0.003421342140777247
49,14,14,18,46,78,0.23076923076923078,0.5897435897435898,23.423076923076923,1827.0,22.893349818694286,-0.28205128205128205,-0.2921461447691306,-22.0,13,13,0,1,12,102.84615384615384,102.84615384615384,-0.6923076923076923,-0.6923076923076923,3.2093285532333913,18.969070294346565,4.1324998231844955e-08,18.969070294346565,74.69121551513672,0.00306123683552729,74.69121551513672,14.262089289151705,0.00306123683552729
50,14,14,17,47,78,0.21794871794871795,0.6025641025641025,23.08974358974359,1801.0,22.59476182399652,-0.3333333333333333,-0.2985879946977664,-26.0,13,13,0,1,12,103.23076923076923,103.23076923076923,0.38461538461538464,0.38461538461538464,3.2375479094111004,19.36292520738565,8.53795695734411e-08,19.36292520738565,74.68445763221153,0.0036855700638205656,74.68445763221153,14.136181537921612,0.0036855700638205656
51,13,13,18,47,78,0.23076923076923078,0.6025641025641025,22.692307692307693,1770.0,22.296148838141026,-0.3974358974358974,-0.2986129858554938,-31.0,13,13,0,1,12,103.53846153846153,103.53846153846153,0.3076923076923077,0.3076923076923077,3.204908655048945,19.880861844389866,1.4345133230463457e-07,19.880861844389866,74.72355064978966,0.004419028423574043,74.72355064978966,14.220924304081844,0.004419028423574043
52,13,13,17,48,78,0.21794871794871795,0.6153846153846154,22.423076923076923,1749.0,21.991104566133938,-0.2692307692307692,-0.30504427200708634,-21.0,13,13,0,1,12,103.15384615384616,103.15384615384616,-0.38461538461538464,-0.38461538461538464,3.23429881179562,20.411116287494316,2.2352545163587084e-07,20.411116287494316,74.84748018704929,0.005296074526051178,74.84748018704929,14.33090063241812,0.005296074526051178
