run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,avg_normal_volume,avg_hypoxic_volume,avg_necrotic_volume,total_tumor_volume,avg_tumor_target_volume,tumor_effective_radius,tumor_mean_radius,tumor_radius_std,tumor_radial_cv,tumor_span_x,tumor_span_y,tumor_aspect_ratio,mean_tumor_to_vessel_distance,min_tumor_to_vessel_distance,tumor_near_vessel_fraction,hypoxic_core_offset,hypoxic_mean_radius,necrotic_mean_radius,hypoxic_inner_fraction,necrotic_inner_fraction,normal_fraction,vessel_coverage_gap,normal_mean_radius,mean_dist_to_sprout,min_dist_to_sprout,proximity_threshold,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2
10,0,growth,1,13,13,0,0,13,0.0,0.0,16.0,16.0,0.0,0.0,208.0,22.5,8.136857890256438,5.386640797342879,1.7814179837498287,0.3307103723397644,12.0,12.0,1.0,89.65529790087379,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.386640797342879,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,growth,1,13,13,0,0,13,0.0,0.0,19.76923076923077,19.76923076923077,0.0,0.0,257.0,22.5,9.044647077096718,5.607361023770536,1.8489587775449643,0.3297377803403278,13.0,13.0,1.0,89.57954416413142,88.0056816347672,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.607361023770536,0.0,0.0,15.0,0.3769230769230769,0.0,4.9,1.7496052114788304e-07,0.0,0.0,0.0
10,20,growth,1,13,13,0,0,13,0.0,0.0,20.615384615384617,20.615384615384617,0.0,0.0,268.0,22.5,9.23618154310838,6.01674637000867,1.8368309591688572,0.3052864199702355,14.0,14.0,1.0,89.27450391483733,87.00574693662483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.01674637000867,0.0,0.0,15.0,0.0846153846153846,0.0,1.1,0.0025665010056959,0.0,0.0,0.0
10,30,growth,1,13,13,0,0,13,0.0,0.0,20.76923076923077,20.76923076923077,0.0,0.0,270.0,22.5,9.27058084855655,5.854598585084541,1.9787776593992656,0.3379869056164662,13.0,15.0,0.8666666666666667,89.36052102879118,87.00574693662483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.854598585084541,0.0,0.0,15.0,0.0153846153846153,0.0,0.2,0.0628557569132401,0.0,0.0,0.0
10,40,growth,1,13,13,0,0,13,0.0,0.0,20.46153846153846,20.46153846153846,0.0,0.0,266.0,22.5,9.201653640780462,5.857543399538236,1.9300421451891467,0.3294968579048508,13.0,14.0,0.9285714285714286,89.42482505507292,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.857543399538236,0.0,0.0,15.0,-0.0307692307692307,0.0,-0.4,0.3165530092441119,0.0,0.0,0.0
10,50,growth,1,13,13,0,0,13,0.0,0.0,20.923076923076923,20.923076923076923,0.0,0.0,272.0,22.5,9.304852983362556,6.0044997717558735,1.8668573168962568,0.3109097156898281,14.0,14.0,1.0,89.19667088120288,87.00574693662483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.0044997717558735,0.0,0.0,15.0,0.0461538461538461,0.0,0.6,0.8358557270123408,0.0,0.0,0.0
10,60,growth,1,13,13,0,0,13,0.0,0.0,20.846153846153847,20.846153846153847,0.0,0.0,271.0,22.5,9.287732724180174,5.887513230353917,1.9242674880037651,0.3268387539382381,14.0,14.0,1.0,89.34750565578983,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.887513230353917,0.0,0.0,15.0,-0.0076923076923076,0.0,-0.1,1.5609288399036114,0.0,0.0,0.0
10,70,growth,1,13,13,0,0,13,0.0,0.0,21.076923076923077,21.076923076923077,0.0,0.0,274.0,22.5,9.338999347593866,5.9061191692212685,1.7905985319569946,0.303176837556613,14.0,14.0,1.0,89.19657907918051,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.9061191692212685,0.0,0.0,15.0,0.023076923076923,0.0,0.3,2.4469645573542667,0.0,0.0,0.0
10,80,growth,1,13,13,0,0,13,0.0,0.0,20.615384615384617,20.615384615384617,0.0,0.0,268.0,22.5,9.23618154310838,5.978811196060002,1.8205624947371652,0.3045024228122313,14.0,13.0,1.0769230769230769,89.27289363534702,87.02298546935747,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.978811196060002,0.0,0.0,15.0,-0.0461538461538461,0.0,-0.6,3.8170173534980183,0.0,0.0,0.0
10,90,growth,1,13,13,0,0,13,0.0,0.0,20.46153846153846,20.46153846153846,0.0,0.0,266.0,22.5,9.201653640780462,6.011357933453137,1.9120007122169775,0.3180646924344191,14.0,14.0,1.0,89.12410082901111,87.00574693662483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.011357933453137,0.0,0.0,15.0,-0.0153846153846153,0.0,-0.2,5.574847148014949,0.0,0.0,0.0
