run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,avg_normal_volume,avg_hypoxic_volume,avg_necrotic_volume,total_tumor_volume,avg_tumor_target_volume,tumor_effective_radius,tumor_mean_radius,tumor_radius_std,tumor_radial_cv,tumor_span_x,tumor_span_y,tumor_aspect_ratio,mean_tumor_to_vessel_distance,min_tumor_to_vessel_distance,tumor_near_vessel_fraction,hypoxic_core_offset,hypoxic_mean_radius,necrotic_mean_radius,hypoxic_inner_fraction,necrotic_inner_fraction,normal_fraction,vessel_coverage_gap,normal_mean_radius,mean_dist_to_sprout,min_dist_to_sprout,proximity_threshold,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,endothelial_cells,neovascular_cells,vascular_like_cells,active_neovascular_cells,vascular_cells,inactive_neovascular_cells,avg_active_neovascular_volume,avg_inactive_neovascular_volume,avg_neovascular_volume,avg_endothelial_volume,avg_parent_vessel_volume,avg_endothelial_volume_growth_rate,avg_parent_vessel_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_endothelial_oxygen,mean_endothelial_vegf,mean_vascular_oxygen,mean_vascular_vegf1,mean_vascular_vegf2,tumor_oxygen_per_neovascular_cell,tumor_oxygen_per_neovascular_volume,hypoxia_per_neovascular_cell
7,0,growth,1,204,204,0,0,204,0.0,0.0,16.0,16.0,0.0,0.0,3264.0,22.5,32.23295624828558,21.555074271738068,7.614343706419764,0.3532506365057303,61.0,60.0,1.0166666666666666,72.97209986072608,56.0357029044876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,21.555074271738068,85.78431219519621,56.0357029044876,15.0,0.0,0.0,0.0,9,9,13,0,4,9,0.0,64.0,64.0,64.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,10,growth,1,204,204,0,0,204,0.0,0.0,17.970588235294116,17.970588235294116,0.0,0.0,3666.0,22.5,34.160269945505064,22.25713337785113,8.047937762956547,0.3615891420664864,63.0,64.0,0.984375,72.77568230492001,55.036351623268054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,22.25713337785113,87.2190771821217,55.036351623268054,15.0,0.1970588235294117,0.0,40.2,9,9,13,0,4,9,0.0,39.44444444444444,39.44444444444444,39.44444444444444,1900.0,-2.4555555555555557,0.0,0.0008133858914558,0.0,0.0,0.0,70.0,0.0,90.0,1.6050463616847992,0.0,9.037621016176584e-05,2.2912278632560353e-06,0.0
7,20,growth,1,204,204,0,0,204,0.0,0.0,18.99019607843137,18.99019607843137,0.0,0.0,3874.0,22.5,35.11598637481233,23.007494259689754,8.29436426588882,0.3605070666222418,66.0,66.0,1.0,72.32116305491941,54.08326913195984,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,23.007494259689754,87.73790075449337,54.08326913195984,15.0,0.1019607843137254,0.0,20.8,9,9,13,0,4,9,0.0,39.44444444444444,39.44444444444444,39.44444444444444,1900.0,0.0,0.0,0.0790669787792128,0.0,0.0,0.0,70.0,0.0,90.0,2.5657249093055725,0.0,0.0087852198643569,0.0002227238838851,0.0
7,30,growth,1,204,204,0,0,204,0.0,0.0,19.82843137254902,19.82843137254902,0.0,0.0,4045.0,22.5,35.882634931306725,23.67368135629676,8.461906248146542,0.3574393910601416,67.0,68.0,0.9852941176470588,72.00065338343846,54.74486277268398,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,23.67368135629676,88.27732031844712,54.74486277268398,15.0,0.0838235294117647,0.0,17.1,9,9,13,0,4,9,0.0,39.888888888888886,39.888888888888886,39.888888888888886,1900.0,0.0444444444444444,0.0,0.4034434685520097,0.0,0.0,0.0,70.0,0.0,90.0,3.13971608877182,0.0,0.0448270520613344,0.0011237979625404,0.0
7,40,growth,1,204,204,0,0,204,0.0,0.0,20.397058823529413,20.397058823529413,0.0,0.0,4161.0,22.5,36.39350816300557,24.01892759876978,8.569150588334484,0.3567665772377525,68.0,68.0,1.0,71.70951331528758,54.74486277268398,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.01892759876978,88.18278943719797,54.74486277268398,15.0,0.0568627450980392,0.0,11.6,9,9,13,0,4,9,0.0,39.111111111111114,39.111111111111114,39.111111111111114,1900.0,-0.0777777777777777,0.0,0.8865203897048738,0.0,0.0,0.0,70.0,0.0,90.0,3.4817567467689514,0.0,0.0985022655227637,0.0025185238343888,0.0
7,50,growth,1,204,204,0,0,204,0.0,0.0,20.730392156862745,20.730392156862745,0.0,0.0,4229.0,22.5,36.6896785032419,24.346846048489873,8.605110818842123,0.353438420800129,68.0,69.0,0.9855072463768116,71.45085273785413,54.00925846556311,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.346846048489873,88.18195278255638,54.00925846556311,15.0,0.0333333333333333,0.0,6.8,9,9,13,0,4,9,0.0,39.666666666666664,39.666666666666664,39.666666666666664,1900.0,0.0555555555555555,0.0,1.478091892439361,0.0,0.0,0.0,70.0,0.0,90.0,3.685122072696686,0.0,0.1642324324932623,0.0041403134241998,0.0
7,60,growth,1,204,204,0,0,204,0.0,0.0,21.0,21.0,0.0,0.0,4284.0,22.5,36.92749046999213,24.542243186170012,8.622944119600719,0.3513510991717293,70.0,68.0,1.0294117647058822,71.28206396081755,54.037024344425184,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.542243186170012,88.19582381327297,54.037024344425184,15.0,0.0269607843137254,0.0,5.5,9,9,13,0,4,9,0.0,39.55555555555556,39.55555555555556,39.55555555555556,1900.0,-0.0111111111111111,0.0,2.155511531248397,0.0,0.0,0.0,70.0,0.0,90.0,3.805863082408905,0.0,0.2395012812498218,0.006054807672046,0.0
7,70,growth,1,204,204,0,0,204,0.0,0.0,21.230392156862745,21.230392156862745,0.0,0.0,4331.0,22.5,37.12950467030226,24.636050350904412,8.697783582834719,0.3530510556257007,69.0,68.0,1.0147058823529411,71.26830372880875,54.08326913195984,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.636050350904412,88.20703944655254,54.08326913195984,15.0,0.0230392156862745,0.0,4.7,9,9,13,0,4,9,0.0,40.22222222222222,40.22222222222222,40.22222222222222,1900.0,0.0666666666666666,0.0,2.8707263864138546,0.0,0.0,0.0,70.0,0.0,90.0,3.877495527267456,0.0,0.3189695984904283,0.0079301833878835,0.0
7,80,growth,1,204,204,0,0,204,0.0,0.0,21.230392156862745,21.230392156862745,0.0,0.0,4331.0,22.5,37.12950467030226,24.710531711364084,8.621356560419953,0.3488940125256427,70.0,69.0,1.0144927536231885,71.1797082366096,54.037024344425184,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.710531711364084,88.16371810571988,54.037024344425184,15.0,0.0,0.0,0.0,9,9,13,0,4,9,0.0,39.666666666666664,39.666666666666664,39.666666666666664,1900.0,-0.0555555555555555,0.0,3.581623429322944,0.0,1.0990576190782879e-46,0.0,70.0,0.0,90.0,3.919982373714447,0.0,0.3979581588136604,0.0100325586255544,0.0
7,90,growth,1,204,204,0,0,204,0.0,0.0,21.323529411764707,21.323529411764707,0.0,0.0,4350.0,22.5,37.21085869607808,24.774980633055293,8.734327301953472,0.3525462817234235,71.0,69.0,1.0289855072463767,71.15639304854282,53.009433122794285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.774980633055293,88.14522478389203,53.009433122794285,15.0,0.009313725490196,0.0,1.9,9,9,13,0,4,9,0.0,39.888888888888886,39.888888888888886,39.888888888888886,1900.0,0.0222222222222222,0.0,4.322882106783343,0.0,1.4478710309332596e-43,0.0,70.0,0.0,90.0,3.945183515548706,0.0,0.4803202340870381,0.0120414543364438,0.0
