run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,avg_normal_volume,avg_hypoxic_volume,avg_necrotic_volume,total_tumor_volume,avg_tumor_target_volume,tumor_effective_radius,tumor_mean_radius,tumor_radius_std,tumor_radial_cv,tumor_span_x,tumor_span_y,tumor_aspect_ratio,mean_tumor_to_vessel_distance,min_tumor_to_vessel_distance,tumor_near_vessel_fraction,hypoxic_core_offset,hypoxic_mean_radius,necrotic_mean_radius,hypoxic_inner_fraction,necrotic_inner_fraction,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,endothelial_cells,neovascular_cells,vascular_like_cells,active_neovascular_cells,vascular_cells,inactive_neovascular_cells,avg_active_neovascular_volume,avg_inactive_neovascular_volume,avg_neovascular_volume,avg_endothelial_volume,avg_parent_vessel_volume,avg_endothelial_volume_growth_rate,avg_parent_vessel_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_endothelial_oxygen,mean_endothelial_vegf,mean_vascular_oxygen,mean_vascular_vegf1,mean_vascular_vegf2,tumor_oxygen_per_neovascular_cell,tumor_oxygen_per_neovascular_volume,hypoxia_per_neovascular_cell,mean_tumor_hif1a,mean_tumor_vegf_drive,mean_hif_vegf2_boost,mean_endothelial_effective_vegf2
4,0,growth,1,13,13,0,0,13,0.0,0.0,16.0,16.0,0.0,0.0,208.0,22.5,8.136857890256438,5.386640797342879,1.7814179837498287,0.3307103723397644,12.0,12.0,1.0,85.63445027037271,80.02499609497022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,13,0,4,9,0.0,64.0,64.0,64.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0326349717969379,0.0195809830781627,0.0195809830781627
4,10,growth,1,13,13,0,0,13,0.0,0.0,20.23076923076923,20.23076923076923,0.0,0.0,263.0,22.5,9.149617481968136,6.012090726354993,1.936662648777731,0.3221279812508568,14.0,13.0,1.0769230769230769,87.89156560866466,81.88406438373708,0.0,0.0,0.0,0.0,0.0,0.0,0.4230769230769231,0.0,5.5,9,9,13,0,4,9,0.0,39.111111111111114,39.111111111111114,39.111111111111114,1900.0,-2.488888888888889,0.0,8.148384799037208e-07,0.0,0.0,0.0,70.0,0.0,90.0,1.6050463616847992,0.0,9.05376088781912e-08,2.314882045181025e-09,0.0,0.3449599242734152,0.5028930946001148,0.3017358567600688,0.3017358567600688
4,20,growth,1,13,13,0,0,13,0.0,0.0,20.53846153846154,20.53846153846154,0.0,0.0,267.0,22.5,9.218933756735217,6.0792907320981024,1.725500119534509,0.2838324724994686,14.0,13.0,1.0769230769230769,87.85297408459753,81.00617260431454,0.0,0.0,0.0,0.0,0.0,0.0,0.0307692307692307,0.0,0.4,9,9,13,0,4,9,0.0,41.44444444444444,41.44444444444444,41.44444444444444,1900.0,0.2333333333333333,0.0,0.003883307137025,0.0,0.0,0.0,70.0,0.0,90.0,2.5657244324684143,0.0,0.0004314785707805,1.041101109122008e-05,0.0,0.5275330622106514,0.7004674242245902,0.4202804545347541,0.4202804545347541
4,30,growth,1,13,13,0,0,13,0.0,0.0,20.692307692307693,20.692307692307693,0.0,0.0,269.0,22.5,9.25339718068125,5.952245243671594,2.143804918140511,0.3601674377277712,14.0,14.0,1.0,88.12711797119444,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153846153846153,0.0,0.2,9,9,13,0,4,9,0.0,43.77777777777778,43.77777777777778,43.77777777777778,1900.0,0.2333333333333333,0.0,0.0772984738533313,0.0,0.0,0.0,70.0,0.0,90.0,3.1397164463996887,0.0,0.0085887193170368,0.0001961890199323,0.0,0.6362867293876869,0.7723569710240104,0.4634141826144062,0.4634141826144062
4,40,growth,1,13,13,0,0,13,0.0,0.0,20.384615384615383,20.384615384615383,0.0,0.0,265.0,22.5,9.18434101276213,5.970380177941353,2.0351206603596483,0.3408695258433908,13.0,15.0,0.8666666666666667,88.20137822746672,80.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0307692307692307,0.0,-0.4,9,9,13,0,4,9,0.0,46.77777777777778,46.77777777777778,46.77777777777778,1900.0,0.3,0.0,0.3564778910233424,0.0,0.0,0.0,70.0,0.0,90.0,3.481766939163208,0.0,0.0396086545581491,0.0008467408337846,0.0,0.6984810209845159,0.8033175602647079,0.4819905361588247,0.4819905361588247
4,50,growth,1,13,13,0,0,13,0.0,0.0,20.53846153846154,20.53846153846154,0.0,0.0,267.0,22.5,9.218933756735217,5.953837788811878,1.9603771470104256,0.329262774120964,14.0,15.0,0.9333333333333332,87.12591333693055,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153846153846153,0.0,0.2,9,9,13,0,4,9,0.0,49.111111111111114,49.111111111111114,49.111111111111114,1900.0,0.2333333333333333,0.0,0.8898243491466229,0.0,0.0,0.0,70.0,0.0,90.0,3.68515020608902,0.0,0.0988693721274025,0.0020131772605127,0.0,0.729020974252764,0.8164274114208645,0.4898564468525186,0.4898564468525186
4,60,growth,1,13,13,0,0,13,0.0,0.0,20.384615384615383,20.384615384615383,0.0,0.0,265.0,22.5,9.18434101276213,5.741232877280483,1.9062781510853064,0.3320328911633133,13.0,14.0,0.9285714285714286,88.05696556628851,81.00617260431454,0.0,0.0,0.0,0.0,0.0,0.0,-0.0153846153846153,0.0,-0.2,9,9,13,0,4,9,0.0,51.0,51.0,51.0,1900.0,0.1888888888888888,0.0,1.6110034905947173,0.0,0.0,0.0,70.0,0.0,90.0,3.8059123158454895,0.0,0.1790003878438574,0.0035098115263501,0.0,0.7378264855156215,0.8199788202772159,0.4919872921663295,0.4919872921663295
4,70,growth,1,13,13,0,0,13,0.0,0.0,20.46153846153846,20.46153846153846,0.0,0.0,266.0,22.5,9.201653640780462,6.169635002276779,1.8448707124360353,0.2990242877828628,15.0,14.0,1.0714285714285714,88.191016854085,81.05553651663777,0.0,0.0,0.0,0.0,0.0,0.0,0.0076923076923076,0.0,0.1,9,9,13,0,4,9,0.0,53.111111111111114,53.111111111111114,53.111111111111114,1900.0,0.2111111111111111,0.0,2.573545969449557,0.0,0.0,0.0,70.0,0.0,90.0,3.877563178539276,0.0,0.2859495521610619,0.0053839873837856,0.0,0.7316111101615983,0.8174698021111352,0.4904818812666811,0.4904818812666811
4,80,growth,1,13,13,0,0,13,0.0,0.0,20.615384615384617,20.615384615384617,0.0,0.0,268.0,22.5,9.23618154310838,5.774906364816937,1.772787742296505,0.3069812097901784,14.0,12.0,1.1666666666666667,87.17520422466825,81.02468759581859,0.0,0.0,0.0,0.0,0.0,0.0,0.0153846153846153,0.0,0.2,9,9,13,0,4,9,0.0,56.22222222222222,56.22222222222222,56.22222222222222,1900.0,0.3111111111111111,0.0,3.8355326102330136,0.0,0.0,0.0,70.0,0.0,90.0,3.920062363147736,0.0,0.4261702900258904,0.0075801039727925,0.0,0.7139259033124529,0.8100756696493262,0.4860454017895957,0.4860454017895957
4,90,growth,1,13,13,0,0,13,0.0,0.0,21.0,21.0,0.0,0.0,273.0,22.5,9.321941800299705,5.8599503156376045,1.7953365239241512,0.3063740180754085,14.0,13.0,1.0769230769230769,87.97441133976962,81.09870529176159,0.0,0.0,0.0,0.0,0.0,0.0,0.0384615384615384,0.0,0.5,9,9,13,0,4,9,0.0,58.0,58.0,58.0,1900.0,0.1777777777777777,0.0,5.543111214270959,0.0,0.0,0.0,70.0,0.0,90.0,3.94526869058609,0.0,0.6159012460301065,0.010618987000519,0.0,0.6858601529441319,0.7974829179255842,0.4784897507553505,0.4784897507553505
