run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,avg_normal_volume,avg_hypoxic_volume,avg_necrotic_volume,total_tumor_volume,avg_tumor_target_volume,tumor_effective_radius,tumor_mean_radius,tumor_radius_std,tumor_radial_cv,tumor_span_x,tumor_span_y,tumor_aspect_ratio,mean_tumor_to_vessel_distance,min_tumor_to_vessel_distance,tumor_near_vessel_fraction,hypoxic_core_offset,hypoxic_mean_radius,necrotic_mean_radius,hypoxic_inner_fraction,necrotic_inner_fraction,normal_fraction,vessel_coverage_gap,normal_mean_radius,mean_dist_to_sprout,min_dist_to_sprout,proximity_threshold,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,endothelial_cells,neovascular_cells,vascular_like_cells,active_neovascular_cells,vascular_cells,inactive_neovascular_cells,avg_active_neovascular_volume,avg_inactive_neovascular_volume,avg_neovascular_volume,avg_endothelial_volume,avg_parent_vessel_volume,avg_endothelial_volume_growth_rate,avg_parent_vessel_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_endothelial_oxygen,mean_endothelial_vegf,mean_vascular_oxygen,mean_vascular_vegf1,mean_vascular_vegf2,tumor_oxygen_per_neovascular_cell,tumor_oxygen_per_neovascular_volume,hypoxia_per_neovascular_cell,mean_tumor_hif1a,mean_tumor_vegf_drive,mean_hif_vegf2_boost,mean_endothelial_effective_vegf2
5,0,growth,1,13,13,0,0,13,0.0,0.0,16.0,16.0,0.0,0.0,208.0,22.5,8.136857890256438,5.386640797342879,1.7814179837498287,0.3307103723397644,12.0,12.0,1.0,85.1573084809582,80.02499609497022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.386640797342879,85.63445027037271,80.02499609497022,15.0,0.0,0.0,0.0,9,9,13,0,4,9,0.0,64.0,64.0,64.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0326349717969379,0.0195809830781627,0.0195809830781627
5,10,growth,1,13,13,0,0,13,0.0,0.0,20.153846153846153,20.153846153846153,0.0,0.0,262.0,22.5,9.13220620552083,5.842996348840795,1.9382904876506768,0.3317288548426388,14.0,13.0,1.0769230769230769,85.99472045336712,81.02468759581859,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.842996348840795,87.26066864327102,81.02468759581859,15.0,0.4153846153846154,0.0,5.4,9,9,13,0,4,9,0.0,39.22222222222222,39.22222222222222,39.22222222222222,1900.0,-2.477777777777778,0.0,7.65926722797653e-07,0.0,0.0,0.0,70.0,0.0,90.0,1.6050463616847992,0.0,8.510296919973922e-08,2.169764087245476e-09,0.0,0.3449599243733976,0.5028930947421054,0.3017358568452632,0.3017358568452632
5,20,growth,1,13,13,0,0,13,0.0,0.0,20.923076923076923,20.923076923076923,0.0,0.0,272.0,22.5,9.304852983362556,6.140361326497738,1.9539699919936775,0.3182174286001111,16.0,14.0,1.1428571428571428,85.75883858171643,80.00624975587844,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.140361326497738,87.12998309655129,80.00624975587844,15.0,0.0769230769230769,0.0,1.0,9,9,13,0,4,9,0.0,41.44444444444444,41.44444444444444,41.44444444444444,1900.0,0.2222222222222222,0.0,0.0039349023181085,0.0,0.0,0.0,70.0,0.0,90.0,2.5657249093055725,0.0,0.0004372113686787,1.054933597348134e-05,0.0,0.5275328543791532,0.7004672603505491,0.4202803562103294,0.4202803562103294
5,30,growth,1,13,13,0,0,13,0.0,0.0,20.846153846153847,20.846153846153847,0.0,0.0,271.0,22.5,9.287732724180174,5.966250474210766,1.8911659856416767,0.3169773032185421,15.0,14.0,1.0714285714285714,86.34746486412597,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.966250474210766,87.83179296478032,81.0,15.0,-0.0076923076923076,0.0,-0.1,9,9,13,0,4,9,0.0,44.22222222222222,44.22222222222222,44.22222222222222,1900.0,0.2777777777777778,0.0,0.0776688347642238,0.0,0.0,0.0,70.0,0.0,90.0,3.1397147178649902,0.0,0.0086298705293582,0.0001951478260407,0.0,0.6362861222411863,0.7723566380448561,0.4634139828269136,0.4634139828269136
5,40,growth,1,13,13,0,0,13,0.0,0.0,21.0,21.0,0.0,0.0,273.0,22.5,9.321941800299705,6.130039946136366,1.9302073285254355,0.3148767945210544,14.0,14.0,1.0,86.39025708328182,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.130039946136366,88.03869268429172,81.0,15.0,0.0153846153846153,0.0,0.2,9,9,13,0,4,9,0.0,45.666666666666664,45.666666666666664,45.666666666666664,1900.0,0.1444444444444444,0.0,0.360812776363813,0.0,0.0,0.0,70.0,0.0,90.0,3.48174786567688,0.0,0.0400903084848681,0.0008778899668219,0.0,0.6984536665824703,0.8033052481153466,0.4819831488692079,0.4819831488692079
5,50,growth,1,13,13,0,0,13,0.0,0.0,20.692307692307693,20.692307692307693,0.0,0.0,269.0,22.5,9.25339718068125,6.015705513510442,1.8745841861200945,0.3116150187056261,14.0,14.0,1.0,86.44657274641048,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.015705513510442,87.95571125001379,81.0,15.0,-0.0307692307692307,0.0,-0.4,9,9,13,0,4,9,0.0,49.0,49.0,49.0,1900.0,0.3333333333333333,0.0,0.8947812272952154,0.0,0.0,0.0,70.0,0.0,90.0,3.685100615024566,0.0,0.099420136366135,0.002028982374819,0.0,0.72904748206558,0.8164384094974586,0.4898630456984751,0.4898630456984751
5,60,growth,1,13,13,0,0,13,0.0,0.0,20.53846153846154,20.53846153846154,0.0,0.0,267.0,22.5,9.218933756735217,6.013546033552889,1.8363975129076384,0.3053768113956996,14.0,14.0,1.0,86.53386352619297,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.013546033552889,88.02731927967983,81.0,15.0,-0.0153846153846153,0.0,-0.2,9,9,13,0,4,9,0.0,51.22222222222222,51.22222222222222,51.22222222222222,1900.0,0.2222222222222222,0.0,1.641493980701153,0.0,0.0,0.0,70.0,0.0,90.0,3.805836021900177,0.0,0.1823882200779059,0.0035607244700675,0.0,0.7376777777847672,0.8199195148653604,0.4919517089192162,0.4919517089192162
5,70,growth,1,13,13,0,0,13,0.0,0.0,21.0,21.0,0.0,0.0,273.0,22.5,9.321941800299705,5.893136629582807,2.0138424508196033,0.3417267539174922,13.0,14.0,0.9285714285714286,86.51855517361892,81.00617260431454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.893136629582807,88.03548659511706,81.00617260431454,15.0,0.0461538461538461,0.0,0.6,9,9,13,0,4,9,0.0,53.888888888888886,53.888888888888886,53.888888888888886,1900.0,0.2666666666666666,0.0,2.529430095966046,0.0,0.0,0.0,70.0,0.0,90.0,3.8774765729904175,0.0,0.2810477884406717,0.005215319785497,0.0,0.7314955616564682,0.8174235007565032,0.4904541004539018,0.4904541004539018
5,80,growth,1,13,13,0,0,13,0.0,0.0,20.692307692307693,20.692307692307693,0.0,0.0,269.0,22.5,9.25339718068125,6.007691705794741,1.9041961358911983,0.3169596958603084,13.0,15.0,0.8666666666666667,86.167472324117,80.75270893288967,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.007691705794741,87.52819645603019,80.75270893288967,15.0,-0.0307692307692307,0.0,-0.4,9,9,13,0,4,9,0.0,56.0,56.0,56.0,1900.0,0.2111111111111111,0.0,3.8821334472069378,0.0,0.0,0.0,70.0,0.0,90.0,3.9199820160865784,0.0,0.4313481608007708,0.0077026457285851,0.0,0.7139016946768544,0.8100672448156753,0.4860403468894051,0.4860403468894051
5,90,growth,1,13,13,0,0,13,0.0,0.0,20.923076923076923,20.923076923076923,0.0,0.0,272.0,22.5,9.304852983362556,6.092672250088124,2.0376271933756476,0.3344389965086626,14.0,15.0,0.9333333333333332,85.69288739091343,80.00624975587844,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.092672250088124,86.94230288502969,80.00624975587844,15.0,0.023076923076923,0.0,0.3,9,9,13,0,4,9,0.0,57.666666666666664,57.666666666666664,57.666666666666664,1900.0,0.1666666666666666,0.0,5.603421944838304,0.0,0.0,0.0,70.0,0.0,90.0,3.9452040791511536,0.0,0.6226024383153671,0.0107965740748329,0.0,0.6857661841316738,0.7974412370715691,0.4784647422429414,0.4784647422429414
