run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,avg_normal_volume,avg_hypoxic_volume,avg_necrotic_volume,total_tumor_volume,avg_tumor_target_volume,tumor_effective_radius,tumor_mean_radius,tumor_radius_std,tumor_radial_cv,tumor_span_x,tumor_span_y,tumor_aspect_ratio,mean_tumor_to_vessel_distance,min_tumor_to_vessel_distance,tumor_near_vessel_fraction,hypoxic_core_offset,hypoxic_mean_radius,necrotic_mean_radius,hypoxic_inner_fraction,necrotic_inner_fraction,normal_fraction,vessel_coverage_gap,normal_mean_radius,mean_dist_to_sprout,min_dist_to_sprout,proximity_threshold,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,endothelial_cells,neovascular_cells,vascular_like_cells,active_neovascular_cells,vascular_cells,inactive_neovascular_cells,avg_active_neovascular_volume,avg_inactive_neovascular_volume,avg_neovascular_volume,avg_endothelial_volume,avg_parent_vessel_volume,avg_endothelial_volume_growth_rate,avg_parent_vessel_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_endothelial_oxygen,mean_endothelial_vegf,mean_vascular_oxygen,mean_vascular_vegf1,mean_vascular_vegf2,tumor_oxygen_per_neovascular_cell,tumor_oxygen_per_neovascular_volume,hypoxia_per_neovascular_cell,mean_tumor_hif1a,mean_tumor_vegf_drive,mean_hif_vegf2_boost,mean_endothelial_effective_vegf2
6,0,growth,1,204,204,0,0,204,0.0,0.0,16.0,16.0,0.0,0.0,3264.0,22.5,32.23295624828558,21.555074271738068,7.614343706419764,0.3532506365057303,61.0,60.0,1.0166666666666666,72.97209986072608,56.0357029044876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,21.555074271738068,85.78431219519621,56.0357029044876,15.0,0.0,0.0,0.0,9,9,13,0,4,9,0.0,64.0,64.0,64.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0326349717969379,0.0195809830781627,0.0195809830781627
6,10,growth,1,204,204,0,0,204,0.0,0.0,17.955882352941178,17.955882352941178,0.0,0.0,3663.0,22.5,34.14628988764702,22.346942997101976,8.074892353941587,0.3613421466635846,64.0,65.0,0.9846153846153848,72.77372720116453,55.326304774492215,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,22.346942997101976,87.34987556263218,55.326304774492215,15.0,0.1955882352941176,0.0,39.9,9,9,13,0,4,9,0.0,39.333333333333336,39.333333333333336,39.333333333333336,1900.0,-2.466666666666667,0.0,0.0007898086603538,0.0,0.0,0.0,70.0,0.0,90.0,1.6050463616847992,0.0,8.775651781709682e-05,2.2310979106041568e-06,0.0,0.3449575713567318,0.5028897530018194,0.3017338518010916,0.3017338518010916
6,20,growth,1,204,204,0,0,204,0.0,0.0,19.137254901960784,19.137254901960784,0.0,0.0,3904.0,22.5,35.25169209643019,23.080086589791147,8.305939815824155,0.3598747250583567,66.0,66.0,1.0,72.52975890930162,55.08175741568164,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,23.080086589791147,88.28229877971022,55.08175741568164,15.0,0.1181372549019607,0.0,24.1,9,9,13,0,4,9,0.0,41.0,41.0,41.0,1900.0,0.1666666666666666,0.0,0.0791929279372447,0.0,0.0,0.0,70.0,0.0,90.0,2.5657238960266113,0.0,0.0087992142152494,0.0002146149808597,0.0,0.5270366142316811,0.7000749731446345,0.4200449838867807,0.4200449838867807
6,30,growth,1,204,204,0,0,204,0.0,0.0,19.794117647058822,19.794117647058822,0.0,0.0,4038.0,22.5,35.85157347188749,23.610363462805143,8.437635542274087,0.3573699979488419,66.0,69.0,0.9565217391304348,72.09173453938412,54.45181356024793,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,23.610363462805143,88.39371397976355,54.45181356024793,15.0,0.0656862745098039,0.0,13.4,9,9,13,0,4,9,0.0,43.77777777777778,43.77777777777778,43.77777777777778,1900.0,0.2777777777777778,0.0,0.3977547148562164,0.0,0.0,0.0,70.0,0.0,90.0,3.139708995819092,0.0,0.0441949683173573,0.0010095297331376,0.0,0.6327069897707581,0.7703621418572958,0.4622172851143774,0.4622172851143774
6,40,growth,1,204,204,0,0,204,0.0,0.0,20.416666666666668,20.416666666666668,0.0,0.0,4165.0,22.5,36.410996635020695,24.09142101760421,8.514059435462539,0.3534062780788689,67.0,69.0,0.9710144927536232,71.65811032713701,54.08326913195984,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.09142101760421,88.19586316633851,54.08326913195984,15.0,0.0622549019607843,0.0,12.7,9,9,13,0,4,9,0.0,46.22222222222222,46.22222222222222,46.22222222222222,1900.0,0.2444444444444444,0.0,0.8908358394697893,0.0,0.0,0.0,70.0,0.0,90.0,3.481742322444916,0.0,0.0989817599410877,0.0021414323064177,0.0,0.6895622426242178,0.7991474604366495,0.4794884762619897,0.4794884762619897
6,50,growth,1,204,204,0,0,204,0.0,0.0,20.730392156862745,20.730392156862745,0.0,0.0,4229.0,22.5,36.6896785032419,24.32222221806417,8.608543692011692,0.3539373834689376,68.0,69.0,0.9855072463768116,71.30713304493229,53.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.32222221806417,87.86703343779837,53.0,15.0,0.0313725490196078,0.0,6.4,9,9,13,0,4,9,0.0,48.0,48.0,48.0,1900.0,0.1777777777777777,0.0,1.4773210463132345,0.0,0.0,0.0,70.0,0.0,90.0,3.6851067543029785,0.0,0.1641467829236927,0.0034197246442435,0.0,0.7160503206700426,0.8107035156543407,0.4864221093926044,0.4864221093926044
6,60,growth,1,204,204,0,0,204,0.0,0.0,20.980392156862745,20.980392156862745,0.0,0.0,4280.0,22.5,36.910246719124274,24.54483108770638,8.588740018739722,0.3499205184199255,68.0,70.0,0.9714285714285714,71.14340585740932,53.03772242470448,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.54483108770638,87.94253141923043,53.03772242470448,15.0,0.025,0.0,5.1,9,9,13,0,4,9,0.0,51.111111111111114,51.111111111111114,51.111111111111114,1900.0,0.3111111111111111,0.0,2.144021502969896,0.0,0.0,0.0,70.0,0.0,90.0,3.8058581352233887,0.0,0.2382246114410995,0.0046609163108041,0.0,0.7236966964618802,0.8135219826592842,0.4881131895955705,0.4881131895955705
6,70,growth,1,204,204,0,0,204,0.0,0.0,21.142156862745097,21.142156862745097,0.0,0.0,4313.0,22.5,37.052267664890486,24.629448152148104,8.654984007855434,0.3514079549971798,68.0,69.0,0.9855072463768116,71.10682315894806,53.03772242470448,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.629448152148104,87.91444054873686,53.03772242470448,15.0,0.0161764705882352,0.0,3.3,9,9,13,0,4,9,0.0,53.22222222222222,53.22222222222222,53.22222222222222,1900.0,0.2111111111111111,0.0,2.865819682531497,0.0,0.0,0.0,70.0,0.0,90.0,3.877510964870453,0.0,0.3184244091701663,0.0059829220929676,0.0,0.7199454845344891,0.8113257605256777,0.4867954563154066,0.4867954563154066
6,80,growth,1,204,204,0,0,204,0.0,0.0,21.235294117647054,21.235294117647054,0.0,0.0,4332.0,22.5,37.13379090462191,24.676757959260232,8.714608992292684,0.353150483004289,68.0,70.0,0.9714285714285714,71.05175617190555,52.009614495783374,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.676757959260232,87.80719182198249,52.009614495783374,15.0,0.009313725490196,0.0,1.9,9,9,13,0,4,9,0.0,55.888888888888886,55.888888888888886,55.888888888888886,1900.0,0.2666666666666666,0.0,3.6028314451960957,0.0,5.357905893006653e-46,0.0,70.0,0.0,90.0,3.9200231432914734,0.0,0.4003146050217884,0.0071626867697735,0.0,0.7096427612285566,0.8060825129446211,0.4836495077667726,0.4836495077667726
6,90,growth,1,204,204,0,0,204,0.0,0.0,21.313725490196077,21.313725490196077,0.0,0.0,4348.0,22.5,37.202303492218356,24.729560797068117,8.730631127445774,0.3530443261443146,69.0,70.0,0.9857142857142858,70.91014921677201,53.009433122794285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,24.729560797068117,87.7188227750388,53.009433122794285,15.0,0.0078431372549019,0.0,1.6,9,9,13,0,4,9,0.0,58.22222222222222,58.22222222222222,58.22222222222222,1900.0,0.2333333333333333,0.0,4.314896785307164,0.0,2.7975137871613973e-43,0.0,70.0,0.0,90.0,3.94525009393692,0.0,0.4794329761452405,0.0082345358498228,0.0,0.6959514810285178,0.7990017450390071,0.4794010470234042,0.4794010470234042
