run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,avg_normal_volume,avg_hypoxic_volume,avg_necrotic_volume,total_tumor_volume,avg_tumor_target_volume,tumor_effective_radius,tumor_mean_radius,tumor_radius_std,tumor_radial_cv,tumor_span_x,tumor_span_y,tumor_aspect_ratio,mean_tumor_to_vessel_distance,min_tumor_to_vessel_distance,tumor_near_vessel_fraction,hypoxic_core_offset,hypoxic_mean_radius,necrotic_mean_radius,hypoxic_inner_fraction,necrotic_inner_fraction,normal_fraction,vessel_coverage_gap,normal_mean_radius,mean_dist_to_sprout,min_dist_to_sprout,proximity_threshold,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_tumor_hif1a,mean_tumor_vegf_drive,mean_hif_vegf2_boost
10,0,growth,1,13,13,0,0,13,0.0,0.0,16.0,16.0,0.0,0.0,208.0,22.5,8.136857890256438,5.386640797342879,1.7814179837498287,0.3307103723397644,12.0,12.0,1.0,89.65529790087379,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.386640797342879,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0326349717969379,0.0195809830781627
10,10,growth,1,13,13,0,0,13,0.0,0.0,20.384615384615383,20.384615384615383,0.0,0.0,265.0,22.5,9.18434101276213,5.965767800332712,1.8301992624155885,0.3067835228708562,15.0,13.0,1.1538461538461535,89.27497916278482,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.965767800332712,0.0,0.0,15.0,0.4384615384615384,0.0,5.7,2.009533315135041e-07,0.0,0.0,0.0,0.344959925722421,0.5028930966579291,0.3017358579947575
10,20,growth,1,13,13,0,0,13,0.0,0.0,20.23076923076923,20.23076923076923,0.0,0.0,263.0,22.5,9.149617481968136,5.775170035444132,2.0034587324895456,0.3469090468667858,15.0,13.0,1.1538461538461535,89.2698285364673,87.00574693662483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.775170035444132,0.0,0.0,15.0,-0.0153846153846153,0.0,-0.2,0.0025097768789587,0.0,0.0,0.0,0.5275396816371732,0.7004726437037745,0.4202835862222647
10,30,growth,1,13,13,0,0,13,0.0,0.0,20.76923076923077,20.76923076923077,0.0,0.0,270.0,22.5,9.27058084855655,5.806678756362354,1.814539493390677,0.3124917994477469,13.0,13.0,1.0,89.43407536107033,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.806678756362354,0.0,0.0,15.0,0.0538461538461538,0.0,0.7,0.0622080939893539,0.0,0.0,0.0,0.6364117690474465,0.7724256581495106,0.4634553948897063
10,40,growth,1,13,13,0,0,13,0.0,0.0,20.923076923076923,20.923076923076923,0.0,0.0,272.0,22.5,9.304852983362556,6.018166110759648,1.7808124913180392,0.2959061711730078,14.0,14.0,1.0,89.12327342035738,87.00574693662483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.018166110759648,0.0,0.0,15.0,0.0153846153846153,0.0,0.2,0.3182040143471498,0.0,0.0,0.0,0.6989724799483518,0.8035387776109775,0.4821232665665864
10,50,growth,1,13,13,0,0,13,0.0,0.0,20.846153846153847,20.846153846153847,0.0,0.0,271.0,22.5,9.287732724180174,5.891451064023108,1.932823933032328,0.3280726449270472,15.0,14.0,1.0714285714285714,89.27829821503703,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.891451064023108,0.0,0.0,15.0,-0.0076923076923076,0.0,-0.1,0.8285263868478628,0.0,0.0,0.0,0.7301567146160912,0.8168922266441547,0.4901353359864928
10,60,growth,1,13,13,0,0,13,0.0,0.0,20.76923076923077,20.76923076923077,0.0,0.0,270.0,22.5,9.27058084855655,5.97644984234908,1.8190914808219116,0.3043765996213743,15.0,15.0,1.0,89.11921944566052,86.02325267042627,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.97644984234908,0.0,0.0,15.0,-0.0076923076923076,0.0,-0.1,1.5642457191760724,0.0,0.0,0.0,0.7393767658775084,0.8205963010221725,0.4923577806133035
10,70,growth,1,13,13,0,0,13,0.0,0.0,20.692307692307693,20.692307692307693,0.0,0.0,269.0,22.5,9.25339718068125,6.100034334784449,1.8397926384335055,0.301603652940507,13.0,14.0,0.9285714285714286,89.12718304079752,87.00574693662483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.100034334784449,0.0,0.0,15.0,-0.0076923076923076,0.0,-0.1,2.495575648087722,0.0,0.0,0.0,0.7334423569718826,0.8182151299976753,0.4909290779986052
10,80,growth,1,13,13,0,0,13,0.0,0.0,20.23076923076923,20.23076923076923,0.0,0.0,263.0,22.5,9.149617481968136,5.820542643542374,1.7491872762281933,0.3005196221985997,14.0,13.0,1.0769230769230769,89.4291207511773,87.00574693662483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.820542643542374,0.0,0.0,15.0,-0.0461538461538461,0.0,-0.6,3.79195710328909,0.0,0.0,0.0,0.7157867177459081,0.8108766071851373,0.4865259643110823
10,90,growth,1,13,13,0,0,13,0.0,0.0,20.23076923076923,20.23076923076923,0.0,0.0,263.0,22.5,9.149617481968136,5.9960073213062755,1.726449331761097,0.2879331593919697,13.0,13.0,1.0,89.21319621217289,87.00574693662483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.9960073213062755,0.0,0.0,15.0,0.0,0.0,0.0,5.584365111130935,0.0,0.0,0.0,0.6871097249812053,0.7980718707909932,0.4788431224745959
