run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,avg_normal_volume,avg_hypoxic_volume,avg_necrotic_volume,total_tumor_volume,avg_tumor_target_volume,tumor_effective_radius,tumor_mean_radius,tumor_radius_std,tumor_radial_cv,tumor_span_x,tumor_span_y,tumor_aspect_ratio,mean_tumor_to_vessel_distance,min_tumor_to_vessel_distance,tumor_near_vessel_fraction,hypoxic_core_offset,hypoxic_mean_radius,necrotic_mean_radius,hypoxic_inner_fraction,necrotic_inner_fraction,normal_fraction,vessel_coverage_gap,normal_mean_radius,mean_dist_to_sprout,min_dist_to_sprout,proximity_threshold,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_tumor_hif1a,mean_tumor_vegf_drive,mean_hif_vegf2_boost
2,0,growth,1,13,13,0,0,13,0.0,0.0,16.0,16.0,0.0,0.0,208.0,22.5,8.136857890256438,5.386640797342879,1.7814179837498287,0.3307103723397644,12.0,12.0,1.0,89.65529790087379,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.386640797342879,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0326349717969379,0.0195809830781627
2,10,growth,1,13,13,0,0,13,0.0,0.0,20.384615384615383,20.384615384615383,0.0,0.0,265.0,22.5,9.18434101276213,5.942595870582712,1.8579097547816643,0.3126427903298569,14.0,13.0,1.0769230769230769,89.35838242388715,87.05170877128145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.942595870582712,0.0,0.0,15.0,0.4384615384615384,0.0,5.7,1.9815523362336324e-07,0.0,0.0,0.0,0.3449599257305532,0.5028930966694782,0.3017358580016869
2,20,growth,1,13,13,0,0,13,0.0,0.0,21.0,21.0,0.0,0.0,273.0,22.5,9.321941800299705,5.939836591640954,1.976221050015594,0.3327062991592565,14.0,13.0,1.0769230769230769,89.2021368470473,87.05170877128145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.939836591640954,0.0,0.0,15.0,0.0615384615384615,0.0,0.8,0.0025596888019488,0.0,0.0,0.0,0.5275396386398417,0.7004726097995106,0.4202835658797064
2,30,growth,1,13,13,0,0,13,0.0,0.0,20.923076923076923,20.923076923076923,0.0,0.0,272.0,22.5,9.304852983362556,5.976454081112781,2.2077921337021413,0.3694150584506898,14.0,15.0,0.9333333333333332,89.19870113730782,87.00574693662483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.976454081112781,0.0,0.0,15.0,-0.0076923076923076,0.0,-0.1,0.0642060262079422,0.0,0.0,0.0,0.6364056028970437,0.7724222702569157,0.4634533621541494
2,40,growth,1,13,13,0,0,13,0.0,0.0,20.692307692307693,20.692307692307693,0.0,0.0,269.0,22.5,9.25339718068125,5.928954609483208,1.878019989841318,0.3167539833813999,14.0,13.0,1.0769230769230769,89.19900484400917,87.05170877128145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.928954609483208,0.0,0.0,15.0,-0.023076923076923,0.0,-0.3,0.3174735238918891,0.0,0.0,0.0,0.6989713345160917,0.8035382308883551,0.482122938533013
2,50,growth,1,13,13,0,0,13,0.0,0.0,20.53846153846154,20.53846153846154,0.0,0.0,267.0,22.5,9.218933756735217,5.919693676997737,1.8494407956716008,0.3124217056801447,14.0,13.0,1.0769230769230769,89.19988108484179,87.05170877128145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.919693676997737,0.0,0.0,15.0,-0.0153846153846153,0.0,-0.2,0.8317795533400315,0.0,0.0,0.0,0.7301223311575581,0.8168779817577607,0.4901267890546564
2,60,growth,1,13,13,0,0,13,0.0,0.0,21.0,21.0,0.0,0.0,273.0,22.5,9.321941800299705,6.067531944350975,1.738831528819454,0.2865797073286693,14.0,13.0,1.0769230769230769,89.20194494565825,87.00574693662483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.067531944350975,0.0,0.0,15.0,0.0461538461538461,0.0,0.6,1.5713318311251128,0.0,0.0,0.0,0.7393235497618427,0.8205749972460398,0.4923449983476238
2,70,growth,1,13,13,0,0,13,0.0,0.0,21.076923076923077,21.076923076923077,0.0,0.0,274.0,22.5,9.338999347593866,5.910506238858276,1.952482649236868,0.3303410182363712,14.0,14.0,1.0,89.19813979305228,87.00574693662483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.910506238858276,0.0,0.0,15.0,0.0076923076923076,0.0,0.1,2.461497215124277,0.0,0.0,0.0,0.7335020070795127,0.8182382314350005,0.4909429388610002
2,80,growth,1,13,13,0,0,13,0.0,0.0,20.846153846153847,20.846153846153847,0.0,0.0,271.0,22.5,9.287732724180174,6.074301974122371,1.9354477103624637,0.3186288265890998,14.0,14.0,1.0,89.13898831838259,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.074301974122371,0.0,0.0,15.0,-0.023076923076923,0.0,-0.3,3.819584076221173,0.0,0.0,0.0,0.7158631555195795,0.8109049306010517,0.486542958360631
2,90,growth,1,13,13,0,0,13,0.0,0.0,20.23076923076923,20.23076923076923,0.0,0.0,263.0,22.5,9.149617481968136,5.838420209093562,1.8994960706692197,0.3253441860369492,15.0,13.0,1.1538461538461535,89.27970669768843,87.00574693662483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.838420209093562,0.0,0.0,15.0,-0.0615384615384615,0.0,-0.8,5.519664470966045,0.0,0.0,0.0,0.6875427663888026,0.7982664531504736,0.4789598718902841
